Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | CDU+CSU | SPD | FDP | Linke | Grüne | Piraten | AfD | FW | Other
Forsa | Stern and RTL | 2018-01-15 | 2018-01-17 | N | 1504 | N/A | 1 | 34 | 18 | 8 | 10 | 12 | N/A | 12 | N/A | 6
Kantar | Bild am Sonntag | 2018-01-11 | 2018-01-17 | N | 1419 | N/A | 1 | 33 | 21 | 8 | 10 | 10 | N/A | 13 | N/A | 5
INSA and YouGov | Bild | 2018-01-12 | 2018-01-15 | N | 2000 | N/A | 0.5 | N/A | 18.5 | 9.5 | 11.5 | 10 | N/A | 14 | N/A | 5
Forsa | Stern and RTL | 2018-01-08 | 2018-01-12 | N | 2501 | 78.0 | 1 | 33 | 20 | 9 | 9 | 12 | N/A | 11 | N/A | 6
Kantar | Bild am Sonntag | 2018-01-04 | 2018-01-10 | N | 1899 | N/A | 1 | 34 | 21 | 8 | 9 | 11 | N/A | 13 | N/A | 4
INSA and YouGov | Bild | 2018-01-05 | 2018-01-08 | N | 2028 | N/A | 0.5 | N/A | 19.5 | 10 | 11 | 10 | N/A | 13.5 | N/A | 4.5
Forsa | Stern and RTL | 2018-01-02 | 2018-01-05 | N | 2503 | 78.0 | 1 | 34 | 20 | 9 | 9 | 12 | N/A | 10 | N/A | 6
Infratest dimap | ARD | 2018-01-02 | 2018-01-03 | N | 1506 | N/A | 1 | 33 | 21 | 9 | 9 | 11 | N/A | 13 | N/A | 4
Kantar | Bild am Sonntag | 2017-12-21 | 2018-01-03 | N | 1440 | N/A | 1 | 33 | 20 | 9 | 9 | 12 | N/A | 12 | N/A | 5
INSA and YouGov | Bild | 2017-12-29 | 2018-01-02 | N | 2012 | N/A | 0.5 | N/A | 19.5 | 10 | 11 | 10 | N/A | 13 | N/A | 4
GMS | N/A | 2017-12-27 | 2018-01-02 | N | 1005 | N/A | 1 | 32 | 20 | 9 | 10 | 11 | N/A | 14 | N/A | 4
YouGov | N/A | 2017-12-25 | 2017-12-27 | N | 1489 | N/A | 1 | 33 | 21 | 9 | 10 | 10 | N/A | 13 | N/A | 4
INSA and YouGov | N/A | 2017-12-21 | 2017-12-22 | N | 2203 | N/A | 0.5 | N/A | 20.4 | 10.4 | 10.0 | 9.5 | N/A | 12.9 | N/A | 4.0
Forsa | N/A | 2017-12-18 | 2017-12-22 | N | 2504 | N/A | 1 | 34 | 19 | 8 | 10 | 12 | N/A | 12 | N/A | 5
Kantar | N/A | 2017-12-14 | 2017-12-20 | N | 1861 | N/A | 1 | 33 | 21 | 8 | 10 | 11 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2017-12-15 | 2017-12-18 | N | 2031 | N/A | 1 | N/A | 21 | 9 | 11 | 10 | N/A | 14 | N/A | 4
Forsa | N/A | 2017-12-11 | 2017-12-15 | N | 2501 | N/A | 1 | 33 | 20 | 8 | 10 | 12 | N/A | 12 | N/A | 5
Allensbach | N/A | 2017-12-01 | 2017-12-14 | N | 1443 | N/A | 0.5 | 34 | 21 | 10 | 9 | 11.5 | N/A | 11 | N/A | 3.5
Infratest dimap | N/A | 2017-12-11 | 2017-12-13 | N | 1029 | N/A | 1 | 32 | 20 | 9 | 9 | 12 | N/A | 13 | N/A | 5
Kantar | N/A | 2017-12-07 | 2017-12-13 | N | 1865 | N/A | 1 | 32 | 22 | 8 | 9 | 11 | N/A | 13 | N/A | 5
INSA and YouGov | N/A | 2017-12-08 | 2017-12-11 | N | 2013 | N/A | 0.5 | N/A | 22 | 9 | 10.5 | 10.5 | N/A | 13.5 | N/A | 3
Forsa | N/A | 2017-12-09 | 2017-12-10 | N | 1566 | N/A | 1 | 34 | 20 | 8 | 9 | 12 | N/A | 11 | N/A | 6
Forsa | N/A | 2017-12-04 | 2017-12-08 | N | 2500 | N/A | 1 | 34 | 20 | 8 | 9 | 12 | N/A | 11 | N/A | 6
Forschungsgruppe Wahlen | N/A | 2017-12-05 | 2017-12-07 | N | 1353 | N/A | 1 | 32 | 23 | 8 | 9 | 12 | N/A | 12 | N/A | 4
Infratest dimap | N/A | 2017-12-04 | 2017-12-06 | N | 1504 | N/A | 1 | 32 | 21 | 9 | 10 | 11 | N/A | 13 | N/A | 4
Kantar | N/A | 2017-11-30 | 2017-12-06 | N | 1880 | N/A | 1 | 33 | 21 | 9 | 10 | 11 | N/A | 12 | N/A | 4
INSA and YouGov | N/A | 2017-12-01 | 2017-12-04 | N | 2063 | N/A | 1 | N/A | 22 | 10 | 11 | 10 | N/A | 13 | N/A | 3
GMS | N/A | 2017-11-28 | 2017-12-01 | N | 1010 | N/A | 1 | 32 | 21 | 10 | 10 | 10 | N/A | 13 | N/A | 4
Forsa | N/A | 2017-11-27 | 2017-12-01 | N | 2502 | N/A | 1 | 34 | 20 | 8 | 9 | 13 | N/A | 10 | N/A | 6
Kantar | N/A | 2017-11-23 | 2017-11-29 | N | 1888 | N/A | 1 | 33 | 21 | 9 | 10 | 10 | N/A | 12 | N/A | 5
YouGov | N/A | 2017-11-24 | 2017-11-28 | N | 1570 | N/A | 1 | 32 | 21 | 9 | 10 | 10 | N/A | 13 | N/A | 5
INSA and YouGov | N/A | 2017-11-24 | 2017-11-27 | N | 2003 | N/A | 1 | N/A | 22 | 10 | 10 | 10 | N/A | 13 | N/A | 3
Allensbach | N/A | 2017-11-22 | 2017-11-27 | N | 1299 | N/A | 0.5 | 33 | 21.5 | 10 | 9 | 11 | N/A | 11 | N/A | 4.5
Forsa | N/A | 2017-11-20 | 2017-11-24 | N | 2508 | N/A | 1 | 33 | 19 | 10 | 9 | 12 | N/A | 11 | N/A | 6
Kantar | N/A | 2017-11-20 | 2017-11-23 | N | 1225 | N/A | 1 | 33 | 22 | 9 | 10 | 10 | N/A | 11 | N/A | 5
INSA and YouGov | N/A | 2017-11-21 | 2017-11-22 | N | 1069 | N/A | 1 | 32 | 21 | 12 | 10 | 10 | N/A | 12 | N/A | 3
Forsa | N/A | 2017-11-20 | 2017-11-20 | N | 1789 | N/A | 1 | 31 | 21 | 10 | 9 | 12 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2017-11-20 | 2017-11-20 | N | 1034 | N/A | 1 | 30 | 21 | 11 | 11 | 10 | N/A | 14 | N/A | 3
Infratest dimap | N/A | 2017-11-20 | 2017-11-20 | N | 1011 | N/A | 1 | 32 | 22 | 10 | 10 | 11 | N/A | 11 | N/A | 4
INSA and YouGov | N/A | 2017-11-17 | 2017-11-19 | N | 2027 | N/A | 0.5 | N/A | 21 | 10 | 11.5 | 9.5 | N/A | 14 | N/A | 3
Forsa | N/A | 2017-11-13 | 2017-11-17 | N | 2505 | N/A | 1 | 32 | 20 | 12 | 8 | 11 | N/A | 12 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-11-14 | 2017-11-16 | N | 1303 | N/A | 1 | 33 | 21 | 10 | 9 | 12 | N/A | 11 | N/A | 4
Infratest dimap | N/A | 2017-11-10 | 2017-11-15 | N | 1382 | N/A | 1 | 31 | 21 | 11 | 10 | 11 | N/A | 12 | N/A | 4
Kantar | N/A | 2017-11-09 | 2017-11-15 | N | 1842 | N/A | 1 | 31 | 21 | 10 | 9 | 11 | N/A | 13 | N/A | 5
INSA and YouGov | N/A | 2017-11-10 | 2017-11-13 | N | 2049 | N/A | 0.5 | N/A | 20 | 10.5 | 10.5 | 9 | N/A | 13.5 | N/A | 4.5
Forsa | N/A | 2017-11-06 | 2017-11-10 | N | 2506 | N/A | 1 | 32 | 20 | 12 | 9 | 10 | N/A | 12 | N/A | 5
Infratest dimap | N/A | 2017-11-06 | 2017-11-08 | N | 1505 | N/A | 1 | 30 | 21 | 12 | 9 | 11 | N/A | 13 | N/A | 4
Kantar | N/A | 2017-11-02 | 2017-11-08 | N | 1392 | N/A | 1 | 30 | 22 | 11 | 10 | 10 | N/A | 13 | N/A | 4
INSA and YouGov | N/A | 2017-11-03 | 2017-11-06 | N | 2023 | N/A | 0.5 | N/A | 22 | 10.5 | 10.5 | 8.5 | N/A | 13.5 | N/A | 4
Forsa | N/A | 2017-10-30 | 2017-11-03 | N | 2005 | N/A | 1 | 32 | 21 | 11 | 9 | 10 | N/A | 12 | N/A | 5
Kantar | N/A | 2017-10-26 | 2017-10-30 | N | 1476 | N/A | 1 | 31 | 21 | 10 | 10 | 11 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2017-10-27 | 2017-10-28 | N | 1024 | N/A | 1 | N/A | 21 | 11 | 10 | 10 | N/A | 13 | N/A | 4
Forsa | N/A | 2017-10-23 | 2017-10-27 | N | 2500 | N/A | 1 | 33 | 20 | 11 | 9 | 11 | N/A | 11 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-10-24 | 2017-10-26 | N | 1325 | N/A | 1 | 33 | 21 | 10 | 9 | 11 | N/A | 12 | N/A | 4
Kantar | N/A | 2017-10-19 | 2017-10-25 | N | 2296 | N/A | 1 | 31 | 22 | 11 | 9 | 10 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2017-10-23 | 2017-10-23 | N | 1002 | N/A | 1 | N/A | 21 | 10 | 10 | 9 | N/A | 13 | N/A | 4
Forsa | N/A | 2017-10-16 | 2017-10-20 | N | 2503 | N/A | 1 | 31 | 22 | 11 | 10 | 10 | N/A | 11 | N/A | 5
Allensbach | N/A | 2017-10-07 | 2017-10-19 | N | 1454 | N/A | 0.5 | 33 | 20.5 | 12 | 9 | 9.5 | N/A | 12 | N/A | 4
Infratest dimap | N/A | 2017-10-16 | 2017-10-18 | N | 1026 | N/A | 1 | 31 | 21 | 12 | 9 | 11 | N/A | 12 | N/A | 4
Kantar | N/A | 2017-10-12 | 2017-10-18 | N | 2304 | N/A | 1 | 32 | 21 | 11 | 9 | 10 | N/A | 12 | N/A | 5
GMS | N/A | 2017-10-12 | 2017-10-18 | N | 1005 | N/A | 1 | 31 | 21 | 12 | 10 | 9 | N/A | 13 | N/A | 4
INSA and YouGov | N/A | 2017-10-13 | 2017-10-16 | N | 2011 | N/A | 0.5 | N/A | 21.5 | 10 | 9 | 9.5 | N/A | 13 | N/A | 5
Forsa | N/A | 2017-10-09 | 2017-10-13 | N | 2501 | N/A | 1 | 32 | 20 | 11 | 9 | 11 | N/A | 12 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-10-10 | 2017-10-12 | N | 1180 | N/A | 1 | 31 | 21 | 11 | 10 | 11 | N/A | 12 | N/A | 4
Infratest dimap | N/A | 2017-10-09 | 2017-10-11 | N | 1506 | N/A | 1 | 32 | 20 | 11 | 10 | 10 | N/A | 11 | N/A | 6
Kantar | N/A | 2017-10-05 | 2017-10-11 | N | 1960 | N/A | 1 | 31 | 21 | 11 | 10 | 10 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2017-10-06 | 2017-10-09 | N | 2015 | N/A | 1 | N/A | 22 | 11 | 9 | 9 | N/A | 13 | N/A | 4
Forsa | N/A | 2017-10-02 | 2017-10-06 | N | 2001 | N/A | 1 | 32 | 20 | 11 | 9 | 11 | N/A | 12 | N/A | 5
Kantar | N/A | 2017-09-28 | 2017-10-04 | N | 1490 | N/A | 1 | 32 | 22 | 10 | 10 | 9 | N/A | 12 | N/A | 5
Forsa | N/A | 2017-09-25 | 2017-09-29 | N | 2005 | N/A | 1 | 32 | 20 | 11 | 10 | 10 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2017-09-27 | 2017-09-28 | N | 1071 | N/A | 1 | 31 | 21 | 12 | 9 | 10 | N/A | 13 | N/A | 4
Forschungsgruppe Wahlen | N/A | 2017-09-26 | 2017-09-28 | N | 1425 | N/A | 1 | 32 | 21 | 10 | 10 | 11 | N/A | 12 | N/A | 4
Kantar | N/A | 2017-09-25 | 2017-09-27 | N | 1038 | N/A | 1 | 33 | 21 | 11 | 10 | 10 | N/A | 12 | N/A | 3
INSA and YouGov | N/A | 2017-09-21 | 2017-09-22 | N | 2000 | N/A | 1 | 34 | 21 | 9 | 11 | 8 | N/A | 13 | N/A | 4
Forschungsgruppe Wahlen | N/A | 2017-09-20 | 2017-09-21 | N | 1725 | N/A | 0.5 | 36 | 21.5 | 10 | 8.5 | 8 | N/A | 11 | N/A | 5
Forsa | N/A | 2017-09-18 | 2017-09-21 | N | 2006 | N/A | 0.5 | 36 | 22 | 9.5 | 9.5 | 7 | N/A | 11 | N/A | 5
Kantar | N/A | 2017-09-14 | 2017-09-21 | N | 1994 | N/A | 1 | 35 | 22 | 9 | 10 | 8 | N/A | 11 | N/A | 5
GMS | N/A | 2017-09-14 | 2017-09-20 | N | 1004 | N/A | 1 | 37 | 22 | 9 | 9 | 8 | N/A | 10 | N/A | 5
YouGov | N/A | 2017-09-15 | 2017-09-19 | N | 1862 | N/A | 1 | 36 | 23 | 9 | 10 | 7 | N/A | 10 | N/A | 5
INSA and YouGov | N/A | 2017-09-15 | 2017-09-18 | N | 2042 | N/A | 1 | 36 | 22 | 9 | 11 | 7 | N/A | 11 | N/A | 4
Forsa | N/A | 2017-09-11 | 2017-09-15 | N | 2501 | N/A | 1 | 36 | 23 | 9 | 10 | 8 | N/A | 9 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-09-12 | 2017-09-14 | N | 1383 | N/A | 1 | 36 | 23 | 10 | 9 | 8 | N/A | 10 | N/A | 4
Allensbach | N/A | 2017-09-06 | 2017-09-14 | N | 1083 | N/A | 0.5 | 36.5 | 22 | 11 | 9 | 8 | N/A | 10 | N/A | 3.5
Infratest dimap | N/A | 2017-09-12 | 2017-09-13 | N | 1503 | N/A | 0.5 | 37 | 20 | 9.5 | 9 | 7.5 | N/A | 12 | N/A | 5
Kantar | N/A | 2017-09-07 | 2017-09-13 | N | 1888 | N/A | 1 | 36 | 22 | 9 | 10 | 8 | N/A | 11 | N/A | 4
Trend Research | N/A | 2017-09-10 | 2017-09-12 | N | 1042 | N/A | 1 | 36 | 22 | 9 | 10 | 7 | N/A | 11 | N/A | 4
YouGov | N/A | 2017-09-08 | 2017-09-12 | N | 1600 | N/A | 1 | 36 | 23 | 9 | 10 | 8 | N/A | 10 | N/A | 4
INSA and YouGov | N/A | 2017-09-08 | 2017-09-11 | N | 2054 | N/A | 0.5 | 36.5 | 23.5 | 9 | 10.5 | 6 | N/A | 11 | N/A | 3.5
Forsa | N/A | 2017-09-04 | 2017-09-08 | N | 2505 | N/A | 1 | 37 | 23 | 8 | 10 | 8 | N/A | 9 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-09-05 | 2017-09-07 | N | 1378 | N/A | 1 | 38 | 22 | 9 | 9 | 8 | N/A | 9 | N/A | 5
Forsa | N/A | 2017-09-04 | 2017-09-07 | N | 2001 | N/A | 1 | 37 | 23 | 9 | 10 | 8 | N/A | 9 | N/A | 4
YouGov | N/A | 2017-09-04 | 2017-09-06 | N | 1617 | N/A | 1 | 34 | 24 | 9 | 9 | 7 | N/A | 11 | N/A | 6
Infratest dimap | N/A | 2017-09-04 | 2017-09-06 | N | 1503 | N/A | 1 | 37 | 21 | 9 | 10 | 8 | N/A | 11 | N/A | 4
Trend Research | N/A | 2017-09-03 | 2017-09-06 | N | 1045 | N/A | 1 | 37 | 24 | 8 | 10 | 7 | N/A | 10 | N/A | 5
Kantar | N/A | 2017-08-31 | 2017-09-06 | N | 1869 | N/A | 1 | 37 | 24 | 8 | 9 | 8 | N/A | 9 | N/A | 5
GMS | N/A | 2017-08-31 | 2017-09-06 | N | 1012 | N/A | 1 | 38 | 22 | 10 | 9 | 9 | N/A | 8 | N/A | 4
INSA and YouGov | N/A | 2017-09-01 | 2017-09-04 | N | 2048 | N/A | 0.5 | 36.5 | 23.5 | 8.5 | 10 | 6.5 | N/A | 10.5 | N/A | 4.5
Forsa | N/A | 2017-08-28 | 2017-09-01 | N | 2503 | N/A | 1 | 38 | 23 | 8 | 9 | 8 | N/A | 9 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-08-29 | 2017-08-31 | N | 1309 | N/A | 1 | 39 | 22 | 10 | 9 | 8 | N/A | 8 | N/A | 4
Allensbach | N/A | 2017-08-22 | 2017-08-31 | N | 1043 | N/A | 0.5 | 38.5 | 24 | 10 | 8 | 7.5 | N/A | 8 | N/A | 4
Infratest dimap | N/A | 2017-08-28 | 2017-08-30 | N | 1411 | N/A | 1 | 37 | 23 | 8 | 9 | 8 | N/A | 11 | N/A | 4
Kantar | N/A | 2017-08-24 | 2017-08-30 | N | 1889 | N/A | 1 | 38 | 24 | 8 | 9 | 8 | N/A | 8 | N/A | 5
YouGov | N/A | 2017-08-25 | 2017-08-29 | N | 1557 | N/A | 1 | 36 | 25 | 7 | 10 | 7 | N/A | 10 | N/A | 5
INSA and YouGov | N/A | 2017-08-25 | 2017-08-28 | N | 2034 | N/A | 0.5 | 37 | 24 | 8 | 10 | 6.5 | N/A | 10 | N/A | 4.5
Trend Research | N/A | 2017-08-24 | 2017-08-28 | N | 1049 | N/A | 1 | 38 | 23 | 9 | 9 | 6 | N/A | 10 | N/A | 5
Forsa | N/A | 2017-08-21 | 2017-08-25 | N | 2501 | N/A | 1 | 38 | 24 | 8 | 9 | 7 | N/A | 9 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-08-22 | 2017-08-24 | N | 1283 | N/A | 1 | 39 | 22 | 9 | 9 | 8 | N/A | 9 | N/A | 4
Infratest dimap | N/A | 2017-08-22 | 2017-08-23 | N | 1035 | N/A | 1 | 38 | 22 | 9 | 9 | 8 | N/A | 10 | N/A | 4
Kantar | N/A | 2017-08-17 | 2017-08-23 | N | 1979 | N/A | 1 | 38 | 23 | 9 | 9 | 7 | N/A | 8 | N/A | 6
YouGov | N/A | 2017-08-18 | 2017-08-22 | N | 1520 | N/A | 1 | 37 | 25 | 8 | 9 | 7 | N/A | 9 | N/A | 5
INSA and YouGov | N/A | 2017-08-18 | 2017-08-21 | N | 2036 | N/A | 1 | 38 | 24 | 9 | 9 | 7 | N/A | 10 | N/A | 3
Forsa | N/A | 2017-08-14 | 2017-08-18 | N | 2501 | N/A | 1 | 38 | 24 | 8 | 9 | 7 | N/A | 9 | N/A | 5
Allensbach | N/A | 2017-08-04 | 2017-08-17 | N | 1421 | N/A | 0.5 | 39.5 | 24 | 10 | 8 | 7.5 | N/A | 7 | N/A | 4
Kantar | N/A | 2017-08-10 | 2017-08-16 | N | 1426 | N/A | 1 | 39 | 24 | 8 | 9 | 8 | N/A | 7 | N/A | 5
YouGov | N/A | 2017-08-11 | 2017-08-15 | N | 1538 | N/A | 1 | 37 | 25 | 9 | 9 | 7 | N/A | 9 | N/A | 4
GMS | N/A | 2017-08-08 | 2017-08-15 | N | 1007 | N/A | 1 | 40 | 22 | 9 | 8 | 8 | N/A | 7 | N/A | 6
INSA and YouGov | N/A | 2017-08-11 | 2017-08-14 | N | 2025 | N/A | 1 | 37 | 25 | 9 | 9 | 7 | N/A | 10 | N/A | 3
Forsa | N/A | 2017-08-07 | 2017-08-11 | N | 2507 | N/A | 1 | 39 | 23 | 8 | 9 | 8 | N/A | 8 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-08-08 | 2017-08-10 | N | 1277 | N/A | 1 | 40 | 24 | 8 | 8 | 8 | N/A | 8 | N/A | 4
Kantar | N/A | 2017-08-03 | 2017-08-09 | N | 1886 | N/A | 1 | 38 | 24 | 8 | 10 | 7 | N/A | 8 | N/A | 5
YouGov | N/A | 2017-08-04 | 2017-08-08 | N | 1513 | N/A | 1 | 38 | 24 | 9 | 9 | 6 | N/A | 9 | N/A | 5
Infratest dimap | N/A | 2017-08-04 | 2017-08-08 | N | 1505 | N/A | 1 | 39 | 24 | 8 | 9 | 8 | N/A | 8 | N/A | 4
INSA and YouGov | N/A | 2017-08-04 | 2017-08-07 | N | 2046 | N/A | 0.5 | 37 | 25 | 9 | 10.5 | 6.5 | N/A | 9 | N/A | 3
Forsa | N/A | 2017-07-31 | 2017-08-04 | N | 2503 | N/A | 1 | 40 | 23 | 7 | 8 | 8 | N/A | 8 | N/A | 6
Kantar | N/A | 2017-07-27 | 2017-08-02 | N | 2453 | N/A | 1 | 38 | 23 | 8 | 10 | 8 | N/A | 8 | N/A | 5
YouGov | N/A | 2017-07-28 | 2017-08-01 | N | 2000 | N/A | 1 | 37 | 25 | 9 | 9 | 7 | N/A | 8 | N/A | 5
INSA and YouGov | N/A | 2017-07-28 | 2017-07-31 | N | 2046 | N/A | 0.5 | 37 | 24.5 | 9 | 10 | 7 | N/A | 9.5 | N/A | 3
Forsa | N/A | 2017-07-24 | 2017-07-28 | N | 2501 | N/A | 1 | 40 | 22 | 8 | 8 | 8 | N/A | 8 | N/A | 6
Infratest dimap | N/A | 2017-07-25 | 2017-07-26 | N | 1004 | N/A | 1 | 40 | 23 | 8 | 8 | 8 | N/A | 9 | N/A | 4
Kantar | N/A | 2017-07-20 | 2017-07-26 | N | 1921 | N/A | 1 | 38 | 24 | 8 | 9 | 8 | N/A | 9 | N/A | 4
YouGov | N/A | 2017-07-21 | 2017-07-25 | N | 2000 | N/A | 1 | 38 | 25 | 9 | 9 | 7 | N/A | 8 | N/A | 4
INSA and YouGov | N/A | 2017-07-21 | 2017-07-24 | N | 2009 | N/A | 0.5 | 37.5 | 25 | 8.5 | 10.5 | 6.5 | N/A | 9 | N/A | 3
Forsa | N/A | 2017-07-17 | 2017-07-21 | N | 2507 | N/A | 1 | 40 | 22 | 8 | 9 | 8 | N/A | 7 | N/A | 6
Forschungsgruppe Wahlen | N/A | 2017-07-18 | 2017-07-20 | N | 1277 | N/A | 1 | 40 | 24 | 8 | 8 | 8 | N/A | 8 | N/A | 4
Kantar | N/A | 2017-07-13 | 2017-07-19 | N | 2349 | N/A | 1 | 38 | 25 | 8 | 9 | 8 | N/A | 8 | N/A | 4
INSA and YouGov | N/A | 2017-07-14 | 2017-07-17 | N | 2026 | N/A | 0.5 | 36 | 25 | 8.5 | 9.5 | 6.5 | N/A | 10 | N/A | 4.5
Forsa | N/A | 2017-07-10 | 2017-07-14 | N | 2502 | N/A | 1 | 40 | 22 | 8 | 9 | 8 | N/A | 7 | N/A | 6
YouGov | N/A | 2017-07-10 | 2017-07-12 | N | 1535 | N/A | 1 | 38 | 24 | 9 | 9 | 8 | N/A | 8 | N/A | 4
Kantar | N/A | 2017-07-06 | 2017-07-12 | N | 1263 | N/A | 1 | 38 | 25 | 7 | 9 | 8 | N/A | 8 | N/A | 5
Allensbach | N/A | 2017-07-01 | 2017-07-12 | N | 1403 | N/A | 0.5 | 39.5 | 25 | 9 | 9 | 7 | N/A | 7 | N/A | 3.5
Ipsos | N/A | 2017-07-07 | 2017-07-11 | N | 1047 | N/A | 1 | 39 | 26 | 8 | 8 | 7 | N/A | 8 | N/A | 4
INSA and YouGov | N/A | 2017-07-07 | 2017-07-10 | N | 2009 | N/A | 0.5 | 36 | 25 | 9 | 9.5 | 6.5 | N/A | 9.5 | N/A | 4.5
Forsa | N/A | 2017-07-03 | 2017-07-07 | N | 2501 | N/A | 1 | 39 | 22 | 8 | 9 | 8 | N/A | 8 | N/A | 6
Forschungsgruppe Wahlen | N/A | 2017-07-04 | 2017-07-06 | N | 1321 | N/A | 1 | 40 | 24 | 8 | 9 | 8 | N/A | 7 | N/A | 4
Infratest dimap | N/A | 2017-07-03 | 2017-07-05 | N | 1500 | N/A | 1 | 39 | 23 | 9 | 9 | 8 | N/A | 9 | N/A | 3
Kantar | N/A | 2017-06-30 | 2017-07-05 | N | 1878 | N/A | 1 | 38 | 25 | 8 | 9 | 8 | N/A | 7 | N/A | 5
GMS | N/A | 2017-06-29 | 2017-07-05 | N | 1009 | N/A | 1 | 39 | 23 | 9 | 8 | 9 | N/A | 7 | N/A | 5
INSA and YouGov | N/A | 2017-06-30 | 2017-07-03 | N | 2044 | N/A | 0.5 | 36.5 | 25 | 9 | 10.5 | 6.5 | N/A | 9 | N/A | 3.5
Forsa | N/A | 2017-06-26 | 2017-06-30 | N | 2503 | N/A | 1 | 39 | 23 | 8 | 9 | 8 | N/A | 7 | N/A | 6
YouGov | N/A | 2017-06-26 | 2017-06-28 | N | 2000 | N/A | 1 | 38 | 25 | 8 | 9 | 8 | N/A | 8 | N/A | 4
Forsa | N/A | 2017-06-26 | 2017-06-28 | N | 1507 | N/A | 1 | 40 | 23 | 8 | 9 | 9 | N/A | 7 | N/A | 4
INSA and YouGov | N/A | 2017-06-23 | 2017-06-26 | N | 2056 | N/A | 0.5 | 37 | 26 | 9 | 10 | 6.5 | N/A | 8.5 | N/A | 3
Ipsos | N/A | 2017-06-23 | 2017-06-26 | N | 1052 | N/A | 1 | 39 | 25 | 8 | 8 | 7 | N/A | 9 | N/A | 4
Kantar | N/A | 2017-06-22 | 2017-06-24 | N | 936 | N/A | 1 | 39 | 24 | 8 | 9 | 8 | N/A | 7 | N/A | 5
Forsa | N/A | 2017-06-19 | 2017-06-23 | N | 2502 | N/A | 1 | 40 | 23 | 7 | 9 | 9 | N/A | 7 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2017-06-20 | 2017-06-22 | N | 1261 | N/A | 1 | 39 | 25 | 8 | 9 | 8 | N/A | 7 | N/A | 4
YouGov | N/A | 2017-06-19 | 2017-06-22 | N | 1523 | N/A | 1 | 36 | 25 | 9 | 10 | 8 | N/A | 7 | N/A | 5
Kantar | N/A | 2017-06-16 | 2017-06-21 | N | 1363 | N/A | 1 | 39 | 24 | 7 | 9 | 8 | N/A | 8 | N/A | 5
INSA and YouGov | N/A | 2017-06-16 | 2017-06-19 | N | 2037 | N/A | 0.5 | 36.5 | 25 | 9 | 11 | 6.5 | N/A | 9 | N/A | 3
Forsa | N/A | 2017-06-12 | 2017-06-16 | N | 2505 | N/A | 1 | 39 | 23 | 8 | 10 | 8 | N/A | 7 | N/A | 5
Allensbach | N/A | 2017-06-01 | 2017-06-15 | N | 1437 | N/A | 0.5 | 40 | 24 | 10.5 | 8.5 | 7 | N/A | 6.5 | N/A | 3.5
Infratest dimap | N/A | 2017-06-12 | 2017-06-13 | N | 1018 | N/A | 1 | 39 | 24 | 9 | 8 | 7 | N/A | 8 | N/A | 5
Kantar | N/A | 2017-06-08 | 2017-06-13 | N | 2054 | N/A | 1 | 39 | 25 | 7 | 9 | 7 | N/A | 8 | N/A | 5
INSA and YouGov | N/A | 2017-06-09 | 2017-06-12 | N | 2037 | N/A | 0.5 | 37.5 | 23.5 | 9 | 11 | 6.5 | N/A | 9 | N/A | 3.5
Ipsos | N/A | 2017-06-09 | 2017-06-12 | N | 1054 | N/A | 1 | 38 | 26 | 7 | 8 | 7 | N/A | 9 | N/A | 4
Forsa | N/A | 2017-06-06 | 2017-06-09 | N | 2004 | N/A | 1 | 38 | 24 | 9 | 8 | 8 | N/A | 7 | N/A | 6
Infratest dimap | N/A | 2017-06-06 | 2017-06-07 | N | 1503 | N/A | 1 | 38 | 24 | 10 | 8 | 7 | N/A | 9 | N/A | 4
Kantar | N/A | 2017-06-01 | 2017-06-07 | N | 1398 | N/A | 1 | 39 | 25 | 7 | 9 | 8 | N/A | 8 | N/A | 4
INSA and YouGov | N/A | 2017-06-02 | 2017-06-06 | N | 2037 | N/A | 1 | 38 | 23 | 9 | 11 | 7 | N/A | 8 | N/A | 4
Forsa | N/A | 2017-05-29 | 2017-06-02 | N | 2501 | N/A | 1 | 39 | 24 | 8 | 8 | 8 | N/A | 7 | N/A | 6
Forschungsgruppe Wahlen | N/A | 2017-05-30 | 2017-06-01 | N | 1301 | N/A | 1 | 39 | 25 | 8 | 9 | 7 | N/A | 8 | N/A | 4
YouGov | N/A | 2017-05-29 | 2017-05-31 | N | 2040 | N/A | 1 | 37 | 23 | 9 | 10 | 8 | N/A | 9 | N/A | 4
