Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | VVD | D66 | PVV | CDA | GL | SP | PvdA | PvdD | CU | P50+ | SGP | FVD | DENK | PPNL | PvdT | CO | JA21 | BIJ1 | Volt | BBB | Splinter | BVNL | NSC | Other
Peil.nl | N/A | 2021-01-01 | 2021-01-02 | N | 3000 | N/A | 1 | 22 | 9 | 17 | 12 | 7 | 6 | 8 | 4 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | 1 | 1 | 1 | N/A | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2020-12-18 | 2020-12-21 | N | 1238 | N/A | 0.1 | 27.9 | 9.9 | 12.1 | 10.9 | 6.8 | 5.8 | 9.4 | 3.8 | 6.6 | 1.0 | 1.9 | 1.4 | 1.4 | N/A | N/A | N/A | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Ipsos | EenVandaag | 2020-12-18 | 2020-12-21 | N | 1050 | N/A | 0.1 | 26.9 | 8.3 | 14.5 | 13.4 | 7.1 | 6.4 | 8.2 | 4.0 | 3.5 | 1.0 | 1.9 | 2.3 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-12-18 | 2020-12-19 | N | 3000 | N/A | 1 | 23 | 8 | 17 | 13 | 7 | 6 | 9 | 4 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-12-11 | 2020-12-14 | N | 1257 | N/A | 1 | 29 | 9 | 15 | 13 | 8 | 6 | 9 | 3 | 4 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-12-11 | 2020-12-12 | N | 3000 | N/A | 1 | 23 | 8 | 19 | 11 | 7 | 6 | 9 | 4 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-12-04 | 2020-12-05 | N | 3000 | N/A | 1 | 24 | 9 | 18 | 9 | 7 | 6 | 9 | 4 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-11-26 | 2020-11-27 | N | 3000 | N/A | 1 | 24 | 9 | 19 | 9 | 7 | 7 | 9 | 4 | 5 | 1 | 2 | 2 | 2 | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-11-20 | 2020-11-23 | N | 1048 | N/A | 0.1 | 22.0 | 8.9 | 11.3 | 10.3 | 7.3 | 6.0 | 8.3 | 3.4 | 3.8 | 1.1 | 1.7 | 3.4 | 1.2 | N/A | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.6
Peil.nl | N/A | 2020-11-20 | 2020-11-21 | N | 3000 | N/A | 1 | 24 | 9 | 16 | 8 | 8 | 7 | 9 | 4 | 5 | 1 | 3 | 5 | 2 | N/A | 0 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-11-09 | 2020-11-16 | N | 2290 | N/A | 1 | 29 | 9 | 14 | 9 | 9 | 7 | 9 | 3 | 5 | 1 | 2 | 4 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-11-15 | 2020-11-15 | N | 3000 | N/A | 1 | 23 | 8 | 16 | 9 | 9 | 7 | 9 | 3 | 5 | 1 | 3 | 5 | 2 | N/A | 0 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2020-11-07 | 2020-11-15 | N | 4604 | N/A | 0.1 | 28.0 | 7.3 | 13.1 | 9.1 | 8.7 | 6.7 | 9.9 | 3.0 | 4.2 | 1.9 | 2.2 | 3.8 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.7
Peil.nl | N/A | 2020-11-08 | 2020-11-08 | N | 3000 | N/A | 1 | 23 | 8 | 16 | 9 | 9 | 7 | 9 | 3 | 5 | 1 | 3 | 5 | 2 | N/A | 0 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-11-01 | 2020-11-01 | N | 3000 | N/A | 1 | 23 | 8 | 16 | 9 | 9 | 7 | 9 | 3 | 5 | 1 | 3 | 5 | 2 | N/A | 0 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-10-23 | 2020-10-26 | N | 1052 | N/A | 0.1 | 27.1 | 8.8 | 12.6 | 10.8 | 9.1 | 6.3 | 8.5 | 3.4 | 4.3 | 1.1 | 2.2 | 3.3 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Peil.nl | N/A | 2020-10-16 | 2020-10-17 | N | 3000 | N/A | 1 | 22 | 8 | 16 | 9 | 8 | 7 | 9 | 3 | 4 | 1 | 3 | 7 | 2 | N/A | 0 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-10-09 | 2020-10-12 | N | 1846 | N/A | 0.1 | 26.9 | 9.4 | 12.5 | 8.8 | 9.0 | 6.2 | 8.7 | 3.2 | 4.6 | 1.0 | 2.5 | 4.8 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-10-11 | 2020-10-11 | N | 3000 | N/A | 1 | 22 | 9 | 15 | 9 | 7 | 8 | 11 | 3 | 4 | 1 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-10-04 | 2020-10-04 | N | 3000 | N/A | 1 | 22 | 9 | 15 | 9 | 7 | 8 | 11 | 3 | 4 | 1 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2020-09-25 | 2020-09-29 | N | 1176 | N/A | 0.1 | 26.7 | 6.6 | 11.9 | 9.2 | 9.8 | 7.4 | 8.5 | 2.5 | 4.1 | 2.4 | 2.1 | 7.0 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.1
Peil.nl | N/A | 2020-09-27 | 2020-09-27 | N | 3000 | N/A | 1 | 22 | 9 | 15 | 9 | 7 | 8 | 11 | 3 | 4 | 1 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-09-25 | 2020-09-27 | N | 1057 | N/A | 0.1 | 25.6 | 8.6 | 12.9 | 10.8 | 8.1 | 6.7 | 8.8 | 4.4 | 3.9 | 1.5 | 1.9 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-09-18 | 2020-09-19 | N | 3000 | N/A | 1 | 22 | 9 | 15 | 9 | 7 | 8 | 11 | 3 | 4 | 1 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-09-03 | 2020-09-07 | N | 2053 | N/A | 0.1 | 26.0 | 8.6 | 12.5 | 8.7 | 10.1 | 6.5 | 8.4 | 3.2 | 4.6 | 1.3 | 2.2 | 6.7 | 0.7 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2020-09-04 | 2020-09-05 | N | 3000 | N/A | 1 | 21 | 9 | 16 | 9 | 8 | 7 | 9 | 5 | 4 | 1 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-08-28 | 2020-08-29 | N | 3000 | N/A | 1 | 21 | 9 | 15 | 9 | 8 | 8 | 10 | 4 | 4 | 1 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-08-21 | 2020-08-27 | N | 1058 | N/A | 0.1 | 23.7 | 9.5 | 11.6 | 10.8 | 8.7 | 7 | 8.9 | 3.8 | 4.8 | 1.2 | 1.9 | 6.2 | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Peil.nl | N/A | 2020-08-23 | 2020-08-23 | N | 3000 | N/A | 1 | 21 | 8 | 14 | 10 | 8 | 8 | 11 | 4 | 4 | 1 | 2 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-08-14 | 2020-08-15 | N | 3000 | N/A | 1 | 23 | 9 | 12 | 11 | 8 | 7 | 11 | 3 | 5 | 1 | 2 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-08-09 | 2020-08-09 | N | N/A | N/A | 0.1 | 26.5 | 8.2 | 9.4 | 11.3 | 9.6 | 6.5 | 8.6 | 2.8 | 4.6 | 0.7 | 2.7 | 7.6 | 0.6 | N/A | 0.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2020-07-26 | 2020-07-26 | N | 3000 | N/A | 1 | 22 | 9 | 12 | 11 | 8 | 7 | 10 | 3 | 5 | 1 | 3 | 8 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-07-24 | 2020-07-26 | N | 1054 | N/A | 0.1 | 24.9 | 8.8 | 9.7 | 11.3 | 8.3 | 7.5 | 8.7 | 3.8 | 4.2 | 1.9 | 2 | 6.5 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Peil.nl | N/A | 2020-07-19 | 2020-07-19 | N | 3000 | N/A | 1 | 22 | 9 | 12 | 11 | 8 | 7 | 10 | 3 | 5 | 1 | 3 | 8 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-07-03 | 2020-07-06 | N | 2112 | N/A | 0.1 | 24.9 | 9.1 | 10.4 | 11.1 | 10.3 | 6.1 | 8.0 | 3.1 | 4.4 | 0.5 | 2.9 | 7.9 | 0.5 | N/A | 0.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2020-07-05 | 2020-07-05 | N | 3000 | N/A | 1 | 22 | 8 | 12 | 13 | 8 | 7 | 11 | 3 | 5 | 1 | 3 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-06-27 | 2020-06-30 | N | 1055 | N/A | 0.1 | 26.4 | 9.1 | 10.4 | 10.7 | 8.6 | 6.8 | 7.9 | 3.7 | 4.6 | 1.1 | 2.4 | 5.9 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Peil.nl | N/A | 2020-06-28 | 2020-06-28 | N | 3000 | N/A | 1 | 22 | 8 | 12 | 13 | 8 | 7 | 11 | 3 | 5 | 1 | 3 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2020-06-23 | 2020-06-26 | N | 901 | N/A | 1 | 27 | 8 | 10 | 9 | 10 | 8 | 8 | 3 | 3 | 1 | 2 | 9 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-06-21 | 2020-06-21 | N | 3000 | N/A | 1 | 22 | 7 | 12 | 12 | 8 | 7 | 12 | 3 | 5 | 1 | 3 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-06-05 | 2020-06-09 | N | 3338 | N/A | 0.1 | 28.1 | 7.2 | 9.9 | 8.9 | 10.0 | 6.3 | 8.7 | 3.1 | 4.9 | 1.0 | 3.1 | 7.4 | 0.4 | N/A | 0.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2020-05-31 | 2020-05-31 | N | 3000 | N/A | 1 | 23 | 7 | 12 | 11 | 8 | 7 | 13 | 3 | 5 | 1 | 3 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-05-22 | 2020-05-24 | N | 1048 | N/A | 0.1 | 28.5 | 6.7 | 9 | 9.2 | 9.7 | 6.1 | 8.6 | 3.7 | 4 | 1.9 | 2 | 7.7 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Peil.nl | N/A | 2020-05-15 | 2020-05-16 | N | 3000 | N/A | 1 | 21 | 7 | 12 | 11 | 9 | 7 | 13 | 3 | 5 | 1 | 3 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2020-05-07 | 2020-05-12 | N | 2076 | N/A | 0.1 | 28.4 | 5.2 | 8.4 | 8.5 | 10.5 | 7.1 | 9.7 | 3.5 | 4.8 | 0.7 | 3.1 | 8.2 | 0.7 | N/A | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-05-08 | 2020-05-09 | N | 3000 | N/A | 1 | 21 | 7 | 12 | 11 | 9 | 7 | 13 | 3 | 5 | 1 | 3 | 7 | 1 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-05-01 | 2020-05-02 | N | 3000 | N/A | 1 | 21 | 7 | 12 | 11 | 8 | 7 | 12 | 3 | 5 | 4 | 3 | 7 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-04-26 | 2020-04-26 | N | 3000 | N/A | 1 | 20 | 7 | 11 | 10 | 7 | 6 | 12 | 3 | 5 | 5 | 3 | 8 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-04-24 | 2020-04-26 | N | 1017 | N/A | 0.1 | 24.7 | 7.8 | 9.0 | 9.3 | 8.7 | 5.3 | 9.7 | 3.5 | 5.0 | 5.2 | 2.0 | 6.8 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | EenVandaag | 2020-03-27 | 2020-03-30 | N | 1013 | N/A | 0.1 | 22.3 | 8.2 | 10.0 | 9.4 | 9.3 | 4.6 | 9.5 | 4.3 | 4.3 | 6.3 | 2.0 | 6.8 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2020-03-26 | 2020-03-30 | N | 2342 | N/A | 0.1 | 23.2 | 5.7 | 9.9 | 9.0 | 10.7 | 6.1 | 9.5 | 4.2 | 5.0 | 5.0 | 2.8 | 7.7 | 0.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
I&O Research | N/A | 2020-03-05 | 2020-03-10 | N | 2180 | N/A | 0.1 | 18.0 | 6.5 | 11.0 | 9.6 | 11.1 | 6.0 | 9.5 | 4.0 | 4.1 | 6.6 | 2.6 | 9.8 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-03-01 | 2020-03-06 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 7 | 11 | 4 | 4 | 7 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-02-23 | 2020-03-01 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 7 | 11 | 4 | 4 | 7 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2020-02-21 | 2020-02-24 | N | 1031 | N/A | 0.1 | 17.1 | 8.3 | 11.8 | 9.3 | 9.6 | 4.9 | 9.2 | 3.9 | 4.3 | 6.8 | 1.9 | 9.8 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-02-18 | 2020-02-23 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 7 | 11 | 4 | 4 | 7 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2020-02-17 | 2020-02-22 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 7 | 11 | 4 | 4 | 7 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-02-09 | 2020-02-14 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 6 | 12 | 4 | 4 | 6 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2020-02-02 | 2020-02-09 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 6 | 12 | 4 | 4 | 6 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2020-01-27 | 2020-02-01 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 6 | 12 | 4 | 4 | 6 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | N/A | 2020-01-24 | 2020-01-27 | N | 1052 | N/A | 0.1 | 18.1 | 8.1 | 10.3 | 9.2 | 9.9 | 5.5 | 9.4 | 4.3 | 4.2 | 6.1 | 2.0 | 10.6 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Peil.nl | N/A | 2020-01-21 | 2020-01-26 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 6 | 12 | 4 | 4 | 6 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2020-01-10 | 2020-01-18 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 6 | 12 | 4 | 4 | 6 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
I&O Research | N/A | 2020-01-10 | 2020-01-14 | N | 2221 | N/A | 0.1 | 17.6 | 7.3 | 10.7 | 9.7 | 11.8 | 6.1 | 8.8 | 3.3 | 5.8 | 5.3 | 2.7 | 9.2 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2020-01-06 | 2020-01-11 | N | 3000 | N/A | 1 | 13 | 9 | 13 | 9 | 8 | 6 | 12 | 4 | 4 | 6 | 3 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-12-19 | 2019-12-21 | N | 1054 | N/A | 0.1 | 17.7 | 7.2 | 11.4 | 11.0 | 10.3 | 5.6 | 9.7 | 3.7 | 4.0 | 6.0 | 2.0 | 9.1 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2019-12-16 | 2019-12-21 | N | 3000 | N/A | 1 | 13 | 8 | 13 | 10 | 8 | 6 | 13 | 4 | 5 | 5 | 2 | 12 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-12-09 | 2019-12-14 | N | 3000 | N/A | 1 | 13 | 8 | 13 | 10 | 8 | 6 | 13 | 4 | 5 | 5 | 2 | 12 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-12-02 | 2019-12-07 | N | 3000 | N/A | 1 | 13 | 8 | 13 | 11 | 9 | 6 | 13 | 3 | 5 | 5 | 1 | 12 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-11-25 | 2019-11-30 | N | 3000 | N/A | 1 | 15 | 8 | 12 | 10 | 9 | 6 | 13 | 3 | 5 | 5 | 1 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-11-22 | 2019-11-25 | N | 1018 | N/A | 0.1 | 17.2 | 7.7 | 11.7 | 12.0 | 10.5 | 5.1 | 8.8 | 4.0 | 3.6 | 5.6 | 2.3 | 9.1 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2019-11-18 | 2019-11-23 | N | 3000 | N/A | 1 | 16 | 9 | 12 | 9 | 9 | 5 | 13 | 3 | 4 | 5 | 1 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-11-11 | 2019-11-16 | N | 3000 | N/A | 1 | 16 | 9 | 12 | 9 | 9 | 5 | 13 | 3 | 4 | 5 | 1 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Kantar Public | N/A | 2019-11-15 | 2019-11-15 | N | 953 | N/A | 1 | 20 | 7 | 12 | 8 | 11 | 6 | 11 | 5 | 5 | 4 | 3 | 8 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2019-11-07 | 2019-11-13 | N | 1339 | N/A | 0.1 | 17.0 | 7.1 | 11.9 | 9.9 | 12.1 | 6.4 | 9.9 | 3.4 | 4.9 | 4.0 | 2.9 | 9.2 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.4
Peil.nl | N/A | 2019-11-04 | 2019-11-09 | N | 3000 | N/A | 1 | 17 | 9 | 12 | 9 | 8 | 6 | 13 | 3 | 4 | 5 | 1 | 10 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-10-28 | 2019-11-02 | N | 3000 | N/A | 1 | 18 | 9 | 11 | 10 | 8 | 6 | 13 | 3 | 4 | 5 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-10-25 | 2019-10-28 | N | 1019 | N/A | 0.1 | 21.6 | 9.0 | 10.3 | 9.9 | 9.2 | 5.6 | 9.6 | 3.0 | 4.4 | 4.3 | 1.9 | 8.0 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Peil.nl | N/A | 2019-10-21 | 2019-10-26 | N | 3000 | N/A | 1 | 18 | 8 | 11 | 10 | 8 | 6 | 13 | 3 | 4 | 4 | 2 | 8 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Peil.nl | N/A | 2019-10-14 | 2019-10-19 | N | 3000 | N/A | 1 | 18 | 9 | 11 | 10 | 8 | 6 | 13 | 3 | 4 | 5 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Kantar Public | N/A | 2019-10-15 | 2019-10-15 | N | N/A | N/A | 1 | 21 | 7 | 10 | 8 | 11 | 5 | 11 | 4 | 5 | 6 | 2 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2019-10-10 | 2019-10-15 | N | 1757 | N/A | 0.1 | 19.3 | 7.5 | 10.2 | 10.6 | 10.5 | 4.6 | 10.6 | 4.0 | 5.4 | 4.7 | 2.7 | 7.8 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.2
Peil.nl | N/A | 2019-10-07 | 2019-10-12 | N | 3000 | N/A | 1 | 19 | 8 | 10 | 11 | 8 | 6 | 13 | 5 | 4 | 4 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-09-30 | 2019-10-05 | N | 3000 | N/A | 1 | 19 | 8 | 10 | 11 | 8 | 6 | 13 | 5 | 4 | 4 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-09-23 | 2019-09-28 | N | 3000 | N/A | 1 | 19 | 7 | 10 | 11 | 9 | 6 | 13 | 5 | 4 | 4 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Ipsos | EenVandaag | 2019-09-20 | 2019-09-23 | N | 1000 | N/A | 0.1 | 21.1 | 9.9 | 10.9 | 10.0 | 9.4 | 6.1 | 8.4 | 4.3 | 4.9 | 3.7 | 1.9 | 7.1 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Peil.nl | N/A | 2019-09-16 | 2019-09-21 | N | 3000 | N/A | 1 | 19 | 7 | 10 | 11 | 9 | 6 | 13 | 5 | 4 | 4 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Kantar Public | N/A | 2019-09-15 | 2019-09-15 | N | N/A | N/A | 1 | 17 | 8 | 10 | 9 | 12 | 7 | 9 | 5 | 5 | 6 | 3 | 9 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2019-09-09 | 2019-09-14 | N | 3000 | N/A | 1 | 19 | 7 | 9 | 11 | 9 | 6 | 13 | 5 | 4 | 4 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peil.nl | N/A | 2019-09-02 | 2019-09-07 | N | 3000 | N/A | 1 | 19 | 7 | 9 | 11 | 9 | 6 | 13 | 5 | 4 | 4 | 1 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
I&O Research | N/A | 2019-08-29 | 2019-09-03 | N | 1633 | N/A | 0.1 | 20.6 | 7.4 | 8.7 | 9.9 | 10.9 | 6.0 | 10.2 | 4.3 | 5.5 | 4.8 | 2.9 | 7.3 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.3
Ipsos | EenVandaag | 2019-08-30 | 2019-09-02 | N | 1001 | N/A | 0.1 | 20.9 | 8.4 | 9.9 | 10.7 | 9.3 | 5.8 | 9.1 | 5.1 | 4.4 | 3.5 | 2.4 | 7.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
