Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Fidesz+KDNP | Jobbik | MSZP | P | DK | LMP | MM | Együtt | MLP | MKKP | MH | EM | MMM | ANPM | Other
Medián | N/A | 2018-11-30 | 2018-12-05 | N | 1200 | N/A | 1 | 59 | 12 | N/A | N/A | 10 | 2 | 3 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2018-11-30 | 2018-12-03 | N | 2000 | N/A | 1 | 51 | 12 | 10 | 2 | 9 | 3 | 5 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 2
Nézőpont Intézet | N/A | 2018-11-10 | 2018-11-27 | N | 2000 | N/A | 1 | 53 | 15 | N/A | N/A | 7 | 4 | 4 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2018-11-13 | 2018-11-22 | N | 1000 | N/A | 1 | 55 | 12 | 11 | 1 | 8 | 3 | 5 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2018-11-14 | 2018-11-21 | N | 1000 | N/A | 1 | 54 | 13 | N/A | N/A | 5 | 4 | 2 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 3
Nézőpont Intézet | N/A | 2018-10-10 | 2018-10-29 | N | 2000 | N/A | 1 | 51 | 17 | N/A | N/A | 8 | 4 | 4 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2018-10-18 | 2018-10-22 | N | 2000 | N/A | 1 | 55 | 18 | 8 | 1 | 7 | 3 | 2 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2018-10-12 | 2018-10-21 | N | 1000 | N/A | 1 | 57 | 12 | 11 | 2 | 7 | 3 | 4 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 0
Medián | N/A | 2018-10-12 | 2018-10-17 | N | 1200 | N/A | 1 | 63 | 11 | 8 | 1 | 9 | 2 | 3 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2018-10-11 | 2018-10-17 | N | 1007 | N/A | 1 | 52 | 14 | N/A | N/A | 5 | 4 | 2 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 3
Medián | N/A | 2018-09-01 | 2018-09-30 | N | 1200 | N/A | 1 | 60 | 11 | N/A | N/A | 10 | 4 | 2 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2018-09-12 | 2018-09-19 | N | 1001 | N/A | 1 | 53 | 14 | N/A | N/A | 5 | 5 | 2 | N/A | N/A | 3 | 0 | N/A | N/A | N/A | 3
ZRI Závecz Research | N/A | 2018-09-11 | 2018-09-19 | N | 1000 | N/A | 1 | 57 | 14 | 11 | 1 | 7 | 4 | 3 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2018-08-29 | 2018-09-18 | N | 2000 | N/A | 1 | 52 | 18 | N/A | N/A | 8 | 5 | 3 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 2
Századvég | N/A | 2018-09-03 | 2018-09-10 | N | 1000 | N/A | 1 | 53 | 14 | N/A | N/A | 7 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8
ZRI Závecz Research | N/A | 2018-08-10 | 2018-08-18 | N | 1000 | N/A | 1 | 56 | 14 | N/A | N/A | 7 | 5 | 2 | N/A | N/A | 3 | 0 | N/A | N/A | N/A | 3
Publicus Research | N/A | 2018-08-08 | 2018-08-16 | N | 998 | N/A | 1 | 52 | 16 | N/A | N/A | 4 | 4 | 2 | N/A | N/A | 3 | 0 | N/A | N/A | N/A | 4
Nézőpont Intézet | N/A | 2018-07-19 | 2018-08-14 | N | 2000 | N/A | 1 | 54 | 17 | N/A | N/A | 7 | 5 | 4 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2018-07-10 | 2018-07-18 | N | 1000 | N/A | 1 | 55 | 13 | 10 | 3 | 7 | 5 | 1 | N/A | N/A | 3 | 0 | N/A | N/A | N/A | 3
Nézőpont Intézet | N/A | 2018-07-01 | 2018-07-17 | N | 2000 | N/A | 1 | 55 | 17 | N/A | N/A | 6 | 5 | 4 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2018-07-10 | 2018-07-16 | N | 1010 | N/A | 1 | 49 | 17 | N/A | N/A | 4 | 5 | 2 | N/A | N/A | 3 | 0 | N/A | N/A | N/A | 4
Századvég | N/A | 2018-07-02 | 2018-07-06 | N | 1000 | N/A | 1 | 53 | 13 | N/A | N/A | 6 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8
Nézőpont Intézet | N/A | 2018-06-03 | 2018-06-22 | N | 2000 | N/A | 1 | 55 | 18 | N/A | N/A | 5 | 6 | 4 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | 1
Publicus Research | N/A | 2018-06-07 | 2018-06-13 | N | 996 | N/A | 1 | 48 | 16 | N/A | N/A | 4 | 5 | 3 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | 5
ZRI Závecz Research | N/A | 2018-06-04 | 2018-06-11 | N | 1000 | N/A | 1 | 55 | 17 | 9 | 2 | 6 | 5 | 2 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | 1
Medián | hvg.hu | 2018-05-28 | 2018-06-01 | N | 1200 | N/A | 1 | 59 | 16 | N/A | N/A | 7 | 3 | 3 | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2018-05-02 | 2018-05-22 | N | 2000 | N/A | 1 | 54 | 19 | N/A | N/A | 5 | 6 | 4 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2018-05-06 | 2018-05-13 | N | 1000 | N/A | 1 | 50 | 21 | N/A | N/A | 8 | 6 | 3 | N/A | N/A | 1 | N/A | N/A | N/A | N/A | 2
Publicus Research | N/A | 2018-05-04 | 2018-05-09 | N | 1008 | N/A | 1 | 48 | 18 | N/A | N/A | 4 | 5 | 3 | 1 | N/A | 3 | N/A | N/A | N/A | N/A | 5
Nézőpont Intézet | N/A | 2018-04-13 | 2018-04-30 | N | 2000 | N/A | 1 | 52 | 19 | N/A | N/A | 6 | 6 | 4 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | 1
Publicus Research | Vasárnapi Hírek | 2018-04-18 | 2018-04-23 | N | 995 | N/A | 1 | 49 | 18 | N/A | N/A | N/A | 5 | 3 | 1 | N/A | 2 | N/A | N/A | N/A | N/A | 4
Nézőpont Intézet | N/A | 2018-04-01 | 2018-04-05 | N | N/A | N/A | 1 | 43 | 22 | N/A | N/A | 8 | 8 | 3 | 1 | 0 | 2 | N/A | N/A | N/A | N/A | 2
Publicus Research | N/A | 2018-03-28 | 2018-04-03 | N | 1006 | N/A | 1 | 45 | 20 | N/A | N/A | 5 | 7 | 2 | 0 | 0 | 0 | N/A | N/A | N/A | N/A | 2
Századvég | N/A | 2018-03-01 | 2018-03-31 | N | 1000 | N/A | 1 | 51 | 13 | N/A | N/A | 6 | 7 | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Medián | hvg.hu | 2018-03-23 | 2018-03-27 | N | 1200 | N/A | 1 | 53 | 16 | N/A | N/A | 6 | 7 | 2 | 1 | 0 | 2 | N/A | N/A | N/A | N/A | 1
Iránytű Intézet | Magyar Nemzet | 2018-03-21 | 2018-03-24 | N | 1000 | N/A | 1 | 41 | 25 | N/A | N/A | 7 | 8 | 3 | 0 | 0 | 2 | N/A | N/A | N/A | N/A | 2
Republikon Intézet | 24.hu | 2018-03-10 | 2018-03-23 | N | 1000 | N/A | 1 | 49 | 19 | N/A | N/A | 5 | 4 | 2 | 2 | N/A | 0 | N/A | N/A | N/A | N/A | 2
Nézőpont Intézet | N/A | 2018-03-03 | 2018-03-19 | N | 1000 | N/A | 1 | 52 | 15 | N/A | N/A | 8 | 8 | 3 | 0 | 0 | 2 | N/A | N/A | N/A | N/A | 1
Publicus Research | N/A | 2018-03-09 | 2018-03-14 | N | 1003 | N/A | 1 | 49 | 17 | N/A | N/A | 5 | 8 | 1 | 1 | 0 | 1 | N/A | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2018-03-07 | 2018-03-14 | N | 1000 | N/A | 1 | 47 | 19 | N/A | N/A | 8 | 6 | 3 | 1 | N/A | 2 | N/A | N/A | N/A | N/A | 1
Medián | hvg.hu | 2018-03-02 | 2018-03-07 | N | 1200 | N/A | 1 | 54 | 16 | N/A | N/A | 9 | 5 | 2 | 2 | N/A | 0 | N/A | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2018-03-01 | 2018-03-05 | N | 1000 | N/A | 1 | 52 | 17 | N/A | N/A | 6 | 9 | 4 | 0 | N/A | 2 | N/A | N/A | N/A | N/A | 0
Századvég | N/A | 2018-02-26 | 2018-02-28 | N | 1000 | N/A | 1 | 53 | 11 | N/A | N/A | 6 | 8 | 0 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | 7
ZRI Závecz Research | N/A | 2018-02-16 | 2018-02-28 | N | N/A | N/A | 1 | 63 | 12 | N/A | N/A | 5 | 7 | 1 | 1 | N/A | 0 | N/A | N/A | N/A | N/A | 0
Iránytű Intézet | Magyar Nemzet | 2018-02-01 | 2018-02-28 | N | 1000 | N/A | 1 | 44 | 24 | 11 | 0 | 8 | 8 | 4 | 0 | 0 | 0 | N/A | N/A | N/A | N/A | 0
Republikon Intézet | 24.hu | 2018-02-09 | 2018-02-22 | N | 1000 | N/A | 1 | 48 | 19 | N/A | N/A | 6 | 5 | 0 | 0 | N/A | 0 | N/A | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2018-02-03 | 2018-02-21 | N | 2000 | N/A | 1 | 54 | 13 | N/A | N/A | 8 | 8 | 3 | 1 | 1 | 2 | N/A | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2018-02-07 | 2018-02-15 | N | 1000 | N/A | 1 | 51 | 17 | N/A | N/A | 8 | 6 | 2 | 1 | 0 | 0 | N/A | N/A | N/A | N/A | 0
Publicus Research | N/A | 2018-02-09 | 2018-02-14 | N | 1002 | N/A | 1 | 48 | 16 | 18 | 0 | 5 | 8 | 1 | 0 | 0 | 2 | N/A | N/A | N/A | N/A | 2
Századvég | N/A | 2018-02-06 | 2018-02-13 | N | 1000 | N/A | 1 | 51 | 14 | N/A | N/A | 7 | 10 | 0 | 1 | 0 | 0 | N/A | N/A | N/A | N/A | 7
Republikon Intézet | 24.hu | 2018-01-01 | 2018-01-31 | N | 1000 | N/A | 1 | 53 | 18 | N/A | N/A | 5 | 4 | 3 | 2 | 1 | 0 | N/A | N/A | N/A | N/A | 1
