Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ÖVP | SPÖ | FPÖ | NEOS | GRÜNE | JETZT | G!LT | HC | MFG | KPÖ | BIER | Other
Spectra | N/A | 2018-10-09 | 2018-10-29 | N | 708 | N/A | 1 | 33 | 25 | 26 | 6 | 4 | 5 | N/A | N/A | N/A | N/A | N/A | 1
GfK | Die Presse | 2018-10-01 | 2018-10-13 | N | 1500 | N/A | 0.5 | 33 | 27.5 | 23.5 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2018-10-08 | 2018-10-12 | N | 800 | N/A | 1 | 34 | 26 | 25 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
OGM | KURIER | 2018-10-09 | 2018-10-11 | N | 802 | N/A | 1 | 34 | 26 | 26 | 6 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2018-09-25 | 2018-09-27 | N | 804 | N/A | 1 | 33 | 28 | 23 | 8 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-09-10 | 2018-09-13 | N | 800 | N/A | 1 | 34 | 28 | 25 | 7 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | Heute | 2018-09-03 | 2018-09-06 | N | 800 | N/A | 1 | 33 | 29 | 23 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2018-08-23 | 2018-08-29 | N | 700 | N/A | 1 | 34 | 28 | 23 | 7 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2018-08-20 | 2018-08-23 | N | 800 | N/A | 1 | 33 | 28 | 23 | 7 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-08-06 | 2018-08-10 | N | 800 | N/A | 1 | 34 | 29 | 23 | 5 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 3
Unique Research | profil | 2018-07-09 | 2018-07-13 | N | 800 | N/A | 1 | 34 | 29 | 24 | 5 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Spectra | OÖNachrichten | 2018-06-06 | 2018-06-29 | N | 709 | N/A | 1 | 34 | 26 | 28 | 4 | 3 | 4 | N/A | N/A | N/A | N/A | N/A | 1
OGM | ServusTV | 2018-06-26 | 2018-06-28 | N | 806 | N/A | 1 | 33 | 28 | 25 | 6 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-06-18 | 2018-06-21 | N | 800 | N/A | 1 | 33 | 27 | 25 | 7 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2018-06-12 | 2018-06-15 | N | 800 | N/A | 1 | 34 | 26 | 25 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2018-06-04 | 2018-06-11 | N | 700 | N/A | 1 | 34 | 26 | 25 | 8 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | Heute | 2018-06-04 | 2018-06-06 | N | 800 | N/A | 1 | 33 | 27 | 25 | 8 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 2
Spectra | OÖNachrichten | 2018-05-09 | 2018-06-05 | N | 732 | N/A | 1 | 33 | 27 | 28 | 4 | 3 | 4 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-05-22 | 2018-05-25 | N | 800 | N/A | 1 | 32 | 25 | 25 | 7 | 6 | 4 | N/A | N/A | N/A | N/A | N/A | 1
IMAS | Kronen Zeitung | 2018-04-18 | 2018-05-09 | N | 1007 | N/A | 1 | 33 | 28 | 26 | 5 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Spectra | OÖNachrichten | 2018-04-09 | 2018-04-30 | N | 738 | N/A | 1 | 34 | 28 | 27 | 5 | 1 | 4 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2018-04-19 | 2018-04-25 | N | 700 | N/A | 1 | 33 | 26 | 26 | 8 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-04-08 | 2018-04-13 | N | 500 | N/A | 1 | 33 | 27 | 24 | 6 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2018-03-26 | 2018-03-29 | N | 811 | N/A | 1 | 32 | 28 | 25 | 8 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Spectra | OÖNachrichten | 2018-03-06 | 2018-03-26 | N | 717 | N/A | 1 | 31 | 27 | 29 | 4 | 2 | 6 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | Heute | 2018-03-19 | 2018-03-22 | N | 800 | N/A | 1 | 32 | 30 | 23 | 8 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 1
OGM | ServusTV | 2018-03-19 | 2018-03-21 | N | 519 | N/A | 1 | 32 | 28 | 24 | 7 | 5 | 3 | N/A | N/A | N/A | N/A | N/A | 1
IMAS | Kronen Zeitung | 2018-02-14 | 2018-03-18 | N | 2073 | N/A | 1 | 32 | 28 | 25 | 7 | 3 | 2 | N/A | N/A | N/A | N/A | N/A | 3
Unique Research | profil | 2018-03-12 | 2018-03-15 | N | 500 | N/A | 1 | 31 | 28 | 25 | 7 | 6 | 3 | N/A | N/A | N/A | N/A | N/A | 0
Market | Der Standard | 2018-03-06 | 2018-03-08 | N | 807 | N/A | 1 | 33 | 29 | 24 | 8 | 3 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2018-02-12 | 2018-02-20 | N | 726 | N/A | 1 | 34 | 25 | 25 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Spectra | OÖNachrichten | 2018-01-25 | 2018-02-19 | N | 709 | N/A | 1 | 33 | 28 | 26 | 5 | 2 | 6 | N/A | N/A | N/A | N/A | N/A | 0
Unique Research | profil | 2018-02-11 | 2018-02-16 | N | 500 | N/A | 1 | 33 | 26 | 26 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-01-15 | 2018-01-19 | N | 500 | N/A | 1 | 34 | 27 | 25 | 6 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2017-12-18 | 2017-12-21 | N | 700 | N/A | 1 | 31 | 28 | 26 | 6 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2017-12-18 | 2017-12-20 | N | 800 | N/A | 1 | 33 | 27 | 26 | 6 | 4 | 2 | N/A | N/A | N/A | N/A | N/A | 2
