Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | R | EK | EKRE | SDE | EVA | I | EER | E200 | KALJ | TULE | P | EÜVP | Other
Turu-uuringute AS | ERR | 2021-09-06 | 2021-09-15 | N | 1003 | N/A | 1 | 24 | 17 | 22 | 7 | N/A | 8 | 3 | 16 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-09-08 | 2021-09-13 | N | 1000 | N/A | 0.1 | 25.6 | 21.3 | 23.6 | 9.8 | N/A | 6.2 | 2.2 | 10.4 | N/A | N/A | N/A | N/A | 0.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-09-01 | 2021-09-07 | N | 1000 | N/A | 0.1 | 24.7 | 19.2 | 24.6 | 7.2 | N/A | 8.4 | 2.4 | 12.4 | N/A | N/A | N/A | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-08-25 | 2021-08-31 | N | 1000 | N/A | 0.1 | 28.2 | 17.7 | 22 | 7.6 | N/A | 7.7 | 2.2 | 13.6 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-08-17 | 2021-08-24 | N | 1000 | N/A | 0.1 | 30 | 18.1 | 23.1 | 9.2 | N/A | 5.8 | 1.9 | 11.6 | N/A | N/A | N/A | N/A | 0.3
Kantar Emor | N/A | 2021-08-12 | 2021-08-17 | N | 1058 | N/A | 1 | 25 | 16 | 24 | 11 | N/A | 4 | 4 | 15 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-08-09 | 2021-08-16 | N | 1000 | N/A | 0.1 | 32.1 | 17.3 | 18.3 | 8.5 | N/A | 5 | 2.7 | 14.7 | N/A | N/A | N/A | N/A | 1.4
Turu-uuringute AS | ERR | 2021-08-05 | 2021-08-13 | N | 1000 | N/A | 1 | 24 | 17 | 21 | 9 | N/A | 5 | 4 | 16 | N/A | N/A | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-08-03 | 2021-08-07 | N | 1000 | N/A | 0.1 | 29.9 | 18.8 | 23.5 | 8.9 | N/A | 5.9 | 1.8 | 10.2 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-07-27 | 2021-08-02 | N | 1000 | N/A | 0.1 | 28.8 | 17.8 | 24.8 | 7.6 | N/A | 5.8 | 2.3 | 12.1 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-07-20 | 2021-07-27 | N | 1000 | N/A | 0.1 | 33.3 | 14.7 | 22.8 | 7.1 | N/A | 7.1 | 1.4 | 13.0 | N/A | N/A | N/A | N/A | 0.7
Kantar Emor | N/A | 2021-07-14 | 2021-07-22 | N | 1001 | N/A | 1 | 23 | 20 | 25 | 9 | N/A | 4 | 3 | 15 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-07-13 | 2021-07-19 | N | 1000 | N/A | 0.1 | 29.5 | 16.3 | 26.3 | 6.9 | N/A | 6.2 | 1.5 | 12.6 | N/A | N/A | N/A | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-07-06 | 2021-07-12 | N | 1000 | N/A | 0.1 | 28.8 | 17.7 | 24.4 | 7 | N/A | 6.3 | 0.8 | 12.7 | N/A | N/A | N/A | N/A | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-06-28 | 2021-07-04 | N | 1000 | N/A | 0.1 | 30 | 20.4 | 21 | 7 | N/A | 6.1 | 2.5 | 11.4 | N/A | N/A | N/A | N/A | 1.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-06-15 | 2021-06-21 | N | 1000 | N/A | 0.1 | 28.7 | 18.9 | 21.1 | 9.2 | N/A | 4.7 | 2.1 | 13.5 | N/A | N/A | N/A | N/A | 1.8
Kantar Emor | N/A | 2021-06-10 | 2021-06-16 | N | 997 | N/A | 1 | 25 | 18 | 20 | 13 | N/A | 4 | 2 | 16 | N/A | 1 | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-06-08 | 2021-06-14 | N | 1000 | N/A | 0.1 | 26.6 | 18.8 | 25.5 | 8.5 | N/A | 5.6 | 1.7 | 10.9 | N/A | N/A | N/A | N/A | 2.4
Turu-uuringute AS | ERR | 2021-06-03 | 2021-06-10 | N | 1000 | N/A | 1 | 24 | 19 | 23 | 9 | N/A | 7 | 3 | 13 | N/A | N/A | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-06-01 | 2021-06-07 | N | 1000 | N/A | 0.1 | 29.6 | 20.5 | 21.1 | 7 | N/A | 5.2 | 1.5 | 14 | N/A | N/A | N/A | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-05-26 | 2021-05-31 | N | 1000 | N/A | 0.1 | 29.3 | 21 | 19.9 | 8.2 | N/A | 5.9 | 2.8 | 11.2 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-05-19 | 2021-05-25 | N | 1000 | N/A | 0.1 | 31.8 | 17.9 | 20.6 | 7.1 | N/A | 5.5 | 2.4 | 13.7 | N/A | N/A | N/A | N/A | 1
Kantar Emor | N/A | 2021-05-12 | 2021-05-18 | N | 1050 | N/A | 1 | 28 | 16 | 19 | 11 | N/A | 7 | 3 | 16 | N/A | 2 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-05-12 | 2021-05-17 | N | 1000 | N/A | 0.1 | 32.5 | 18.1 | 21.2 | 7.7 | N/A | 4.8 | 1.2 | 13.2 | N/A | N/A | N/A | N/A | 1.3
Turu-uuringute AS | ERR | 2021-05-06 | 2021-05-11 | N | 1002 | N/A | 1 | 26 | 20 | 21 | 8 | N/A | 5 | 2 | 15 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-05-04 | 2021-05-10 | N | 1000 | N/A | 0.1 | 30.4 | 18.7 | 20.5 | 8.4 | N/A | 4.4 | 1.4 | 15.2 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-04-27 | 2021-05-03 | N | 1000 | N/A | 0.1 | 29.1 | 20.7 | 23.9 | 6.0 | N/A | 4.8 | 1.9 | 11.9 | N/A | N/A | N/A | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-04-20 | 2021-04-26 | N | 1000 | N/A | 0.1 | 33.4 | 22.3 | 15.6 | 6.9 | N/A | 5.7 | 1.9 | 12.1 | N/A | N/A | N/A | N/A | 2.1
Kantar Emor | N/A | 2021-04-15 | 2021-04-21 | N | 1110 | N/A | 1 | 27 | 19 | 21 | 8 | N/A | 5 | 3 | 14 | N/A | 2 | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-04-13 | 2021-04-19 | N | 1000 | N/A | 0.1 | 29.7 | 19.3 | 17.4 | 6.9 | N/A | 5.9 | 2.1 | 16.9 | N/A | N/A | N/A | N/A | 1.8
Turu-uuringute AS | ERR | 2021-04-08 | 2021-04-14 | N | 1010 | N/A | 1 | 27 | 19 | 23 | 7 | N/A | 5 | 2 | 13 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-04-07 | 2021-04-12 | N | 1000 | N/A | 0.1 | 30.5 | 17.3 | 21.2 | 8.2 | N/A | 5.7 | 1.6 | 13.5 | N/A | N/A | N/A | N/A | 2.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-03-30 | 2021-04-05 | N | 1000 | N/A | 0.1 | 34.4 | 20.1 | 19.6 | 6.3 | N/A | 5.1 | 1.7 | 10.9 | N/A | N/A | N/A | N/A | 1.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-03-23 | 2021-03-29 | N | 1000 | N/A | 0.1 | 35.2 | 20.7 | 18.2 | 5.7 | N/A | 5.4 | 1.9 | 12.4 | N/A | N/A | N/A | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-03-17 | 2021-03-22 | N | 1000 | N/A | 0.1 | 33.3 | 19.4 | 17.7 | 6.6 | N/A | 6.6 | 2.5 | 12.2 | N/A | N/A | N/A | N/A | 1.7
Kantar Emor | N/A | 2021-03-11 | 2021-03-16 | N | 1114 | N/A | 1 | 28 | 18 | 19 | 9 | N/A | 5 | 4 | 16 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-03-10 | 2021-03-15 | N | 1000 | N/A | 0.1 | 31.5 | 23 | 20.5 | 6.2 | N/A | 4.7 | 2 | 10.1 | N/A | N/A | N/A | N/A | 1.6
Turu-uuringute AS | ERR | 2021-03-09 | 2021-03-15 | N | 1005 | N/A | 1 | 26 | 20 | 19 | 9 | N/A | 6 | 3 | 15 | N/A | N/A | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-03-02 | 2021-03-08 | N | 1000 | N/A | 0.1 | 36.7 | 17 | 20.3 | 5.3 | N/A | 6.2 | 2.9 | 10.5 | N/A | N/A | N/A | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-02-23 | 2021-03-01 | N | 1000 | N/A | 0.1 | 35.4 | 18.8 | 20.5 | 6.2 | N/A | 4.9 | 1.9 | 11.2 | N/A | N/A | N/A | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-02-16 | 2021-02-22 | N | 1000 | N/A | 0.1 | 35.3 | 19.3 | 18.1 | 6.1 | N/A | 5.4 | 2.1 | 12.5 | N/A | N/A | N/A | N/A | 1.2
Kantar Emor | N/A | 2021-02-11 | 2021-02-15 | N | 1124 | N/A | 1 | 30 | 17 | 20 | 9 | N/A | 5 | 2 | 15 | N/A | 1 | N/A | N/A | 1
Turu-uuringute AS | ERR | 2021-02-10 | 2021-02-15 | N | 1005 | N/A | 1 | 28 | 17 | 20 | 7 | N/A | 6 | 2 | 16 | N/A | N/A | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-02-09 | 2021-02-15 | N | 1000 | N/A | 0.1 | 35.2 | 15.5 | 20.2 | 7.6 | N/A | 4.8 | 1.9 | 13.7 | N/A | N/A | N/A | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-02-02 | 2021-02-08 | N | 1000 | N/A | 0.1 | 34.6 | 20.7 | 19.1 | 5 | N/A | 6.1 | 1.6 | 11.7 | N/A | N/A | N/A | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-01-26 | 2021-02-01 | N | 1000 | N/A | 0.1 | 32.3 | 18.6 | 17.1 | 7.7 | N/A | 5.1 | 2.5 | 15.4 | N/A | N/A | N/A | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-01-18 | 2021-01-25 | N | 1000 | N/A | 0.1 | 31.6 | 20.7 | 19.2 | 5.1 | N/A | 5.2 | 2.4 | 15.0 | N/A | N/A | N/A | N/A | 0.8
Turu-uuringute AS | ERR | 2021-01-12 | 2021-01-21 | N | 1008 | N/A | 1 | 27 | 20 | 17 | 8 | N/A | 6 | 3 | 14 | N/A | N/A | N/A | N/A | 5
Kantar Emor | N/A | 2021-01-14 | 2021-01-19 | N | 1219 | N/A | 1 | 27 | 19 | 14 | 9 | N/A | 8 | 4 | 17 | N/A | 1 | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-01-12 | 2021-01-18 | N | 1000 | N/A | 0.1 | 28.7 | 21.8 | 16.3 | 7.5 | N/A | 7.0 | 2.7 | 14.2 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-01-05 | 2021-01-11 | N | 1000 | N/A | 0.1 | 29.5 | 20.9 | 15.1 | 8.7 | N/A | 5.2 | 1.9 | 15.2 | N/A | N/A | N/A | N/A | 3.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-12-29 | 2021-01-04 | N | 1000 | N/A | 0.1 | 29.6 | 22.1 | 14.7 | 8.8 | N/A | 5.5 | 2.0 | 15.2 | N/A | N/A | N/A | N/A | 2.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-12-16 | 2020-12-21 | N | 1000 | N/A | 0.1 | 28.1 | 20.9 | 15.9 | 6.4 | N/A | 7.4 | 2.1 | 17.3 | N/A | N/A | N/A | N/A | 1.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-12-09 | 2020-12-14 | N | 1000 | N/A | 0.1 | 26.4 | 21.5 | 14.2 | 8.6 | N/A | 5.9 | 3.1 | 18.1 | N/A | N/A | N/A | N/A | 2.2
Kantar Emor | N/A | 2020-12-03 | 2020-12-09 | N | 1151 | N/A | 1 | 27 | 16 | 17 | 9 | N/A | 7 | 5 | 18 | N/A | 1 | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-12-01 | 2020-12-07 | N | 1000 | N/A | 0.1 | 31.2 | 21.4 | 13.2 | 8.1 | N/A | 5.5 | 1.7 | 15.4 | N/A | 0 | N/A | N/A | 0
Turu-uuringute AS | ERR | 2020-11-27 | 2020-12-07 | N | 881 | N/A | 1 | 21 | 25 | 14 | 9 | N/A | 5 | 3 | 20 | N/A | 1 | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-11-24 | 2020-11-30 | N | 1000 | N/A | 0.1 | 28.8 | 22.8 | 14.7 | 6.6 | N/A | 4.9 | 3.6 | 15.3 | N/A | 1.1 | N/A | N/A | 2.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-11-17 | 2020-11-23 | N | 1000 | N/A | 0.1 | 29.6 | 21.0 | 13.1 | 9.4 | N/A | 6.5 | 3.0 | 14.8 | N/A | 0.4 | N/A | N/A | 2.2
Kantar Emor | BNS and Postimees | 2020-11-13 | 2020-11-18 | N | 1281 | N/A | 1 | 28 | 17 | 16 | 10 | N/A | 6 | 3 | 18 | N/A | 2 | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-11-11 | 2020-11-16 | N | 1000 | N/A | 0.1 | 33.7 | 19.6 | 14.6 | 8.3 | N/A | 6.0 | 2.3 | 13.4 | N/A | 0.6 | N/A | N/A | 1.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-11-03 | 2020-11-09 | N | 1000 | N/A | 0.1 | 29.7 | 24.5 | 16.5 | 9.1 | N/A | 4.5 | 2.9 | 11.4 | N/A | 0.4 | N/A | N/A | 1.0
Turu-uuringute AS | N/A | 2020-10-30 | 2020-11-09 | N | 854 | N/A | 1 | 23 | 24 | 15 | 10 | N/A | 6 | 4 | 13 | N/A | 1 | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-10-27 | 2020-11-02 | N | 1000 | N/A | 0.1 | 31.5 | 21.0 | 18.2 | 7.2 | N/A | 4.9 | 2.5 | 10.1 | N/A | 0.3 | N/A | N/A | 4.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-10-22 | 2020-10-26 | N | 1000 | N/A | 0.1 | 35.1 | 20.3 | 14.2 | 8.6 | N/A | 6.9 | 3.1 | 8.9 | N/A | 0.6 | N/A | N/A | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-10-14 | 2020-10-20 | N | 1000 | N/A | 0.1 | 29.4 | 25.0 | 17.2 | 9.1 | N/A | 6.1 | 2.1 | 9.3 | N/A | 0.6 | N/A | N/A | 1.2
Turu-uuringute AS | N/A | 2020-10-01 | 2020-10-15 | N | 873 | N/A | 1 | 24 | 25 | 17 | 10 | N/A | 5 | 3 | 12 | N/A | 1 | N/A | N/A | 4
Kantar Emor | BNS and Postimees | 2020-10-08 | 2020-10-14 | N | 1268 | N/A | 1 | 33 | 17 | 15 | 11 | N/A | 5 | 3 | 13 | N/A | 2 | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-10-06 | 2020-10-13 | N | 1000 | N/A | 0.1 | 32.2 | 22.3 | 18.1 | 9.0 | N/A | 4.4 | 3.5 | 7.7 | N/A | 0.6 | N/A | N/A | 2.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-09-28 | 2020-10-05 | N | 1000 | N/A | 0.1 | 35.1 | 21.2 | 15.7 | 9.6 | N/A | 5.7 | 2.2 | 8.1 | N/A | 1.4 | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-09-23 | 2020-09-28 | N | 1000 | N/A | 0.1 | 31.4 | 22.8 | 17.0 | 12.1 | N/A | 4.2 | 3.0 | 5.8 | N/A | 0.5 | N/A | N/A | 3.3
Kantar Emor | BNS and Postimees | 2020-09-17 | 2020-09-23 | N | 1089 | N/A | 1 | 32 | 18 | 13 | 12 | N/A | 6 | 3 | 13 | N/A | 2 | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-09-15 | 2020-09-21 | N | 1000 | N/A | 0.1 | 34.7 | 21.6 | 14.3 | 8.2 | N/A | 4.8 | 3.2 | 8.1 | N/A | 1.4 | N/A | N/A | 3.7
Turu-uuringute AS | N/A | 2020-09-07 | 2020-09-17 | N | 1010 | N/A | 1 | 27 | 24 | 16 | 11 | N/A | 5 | 3 | 9 | N/A | 3 | N/A | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-09-09 | 2020-09-15 | N | 1000 | N/A | 0.1 | 32.5 | 22.5 | 13.8 | 9.1 | N/A | 5.8 | 2.5 | 9.7 | N/A | 1.4 | N/A | N/A | 2.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-09-02 | 2020-09-09 | N | 1000 | N/A | 0.1 | 33.3 | 26.2 | 15.5 | 8.3 | N/A | 4.6 | 2.0 | 8.4 | N/A | 0.8 | N/A | N/A | 0.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-08-25 | 2020-08-31 | N | 1000 | N/A | 0.1 | 33.0 | 24.5 | 16.2 | 8.8 | N/A | 4.0 | 3.3 | 7.6 | N/A | 1.2 | N/A | N/A | 1.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-08-17 | 2020-08-25 | N | 1000 | N/A | 0.1 | 35.5 | 20.9 | 16.1 | 6.7 | 0.7 | 5.8 | 1.3 | 9.9 | N/A | N/A | N/A | N/A | 3.1
Turu-uuringute AS | ERR | 2020-08-12 | 2020-08-24 | N | 1003 | N/A | 1 | 23 | 26 | 20 | 10 | 0 | 5 | 2 | 9 | N/A | N/A | N/A | N/A | 1
Kantar Emor | BNS and Postimees | 2020-08-13 | 2020-08-19 | N | 1268 | N/A | 1 | 30 | 17 | 17 | 13 | 1 | 5 | 2 | 14 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-08-10 | 2020-08-17 | N | 1000 | N/A | 0.1 | 33.0 | 22.9 | 15.4 | 9.8 | 0.6 | 6.1 | 2.3 | 7.9 | N/A | N/A | N/A | N/A | 2.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-08-04 | 2020-08-10 | N | 1000 | N/A | 0.1 | 32.1 | 19.4 | 19.0 | 8.4 | 1.1 | 6.2 | 1.2 | 9.4 | N/A | N/A | N/A | N/A | 3.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-07-27 | 2020-08-03 | N | 1000 | N/A | 0.1 | 33.0 | 22.5 | 18.4 | 8.8 | 0.9 | 5.9 | 2.6 | 6.8 | N/A | N/A | N/A | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-07-21 | 2020-07-28 | N | 1000 | N/A | 0.1 | 31.2 | 24.1 | 18.6 | 8.7 | 0.6 | 6.4 | 2.2 | 6.8 | N/A | N/A | N/A | N/A | 1.4
Kantar Emor | BNS and Postimees | 2020-07-16 | 2020-07-22 | N | 1125 | N/A | 1 | 31 | 17 | 18 | 9 | 0 | 6 | 3 | 14 | N/A | N/A | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-07-14 | 2020-07-20 | N | 1000 | N/A | 0.1 | 34.0 | 23.5 | 16.8 | 8.7 | 0.3 | 5.6 | 2.3 | 6.9 | N/A | N/A | N/A | N/A | 1.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-07-07 | 2020-07-13 | N | 1000 | N/A | 0.1 | 32.3 | 23.2 | 15.8 | 10.2 | 0.4 | 4.4 | 2.2 | 7.5 | N/A | N/A | N/A | N/A | 4.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-07-29 | 2020-07-06 | N | 1000 | N/A | 0.1 | 32.1 | 22.9 | 14.8 | 9.2 | 0.6 | 6.1 | 2.5 | 9.6 | N/A | N/A | N/A | N/A | 2.2
Kantar Emor | BNS and Postimees | 2020-06-01 | 2020-06-30 | N | 1268 | N/A | 1 | 28 | 19 | 19 | 10 | 0 | 5 | 3 | 13 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-06-16 | 2020-06-22 | N | 1000 | N/A | 0.1 | 30.3 | 26.1 | 16.0 | 9.3 | 0.9 | 5.9 | 1.3 | 9.2 | N/A | N/A | N/A | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-06-09 | 2020-06-16 | N | 1000 | N/A | 0.1 | 31.7 | 27.0 | 16.3 | 7.6 | 0.4 | 5.9 | 2.4 | 7.4 | N/A | N/A | N/A | N/A | 1.3
Turu-uuringute AS | ERR | 2020-06-09 | 2020-06-15 | N | 1004 | N/A | 1 | 33 | 27 | 16 | 8 | 0 | 3 | 2 | 9 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-06-01 | 2020-06-08 | N | 1000 | N/A | 0.1 | 30.3 | 22.8 | 20.3 | 7.6 | 0.4 | 4.7 | 3.4 | 7.2 | N/A | N/A | N/A | N/A | 3.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-05-25 | 2020-06-01 | N | 1000 | N/A | 0.1 | 30.8 | 24.5 | 16.7 | 9.3 | 0.3 | 5.6 | 1.4 | 7.7 | N/A | N/A | N/A | N/A | 3.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-05-18 | 2020-05-25 | N | 1000 | N/A | 0.1 | 32.4 | 27.1 | 12.4 | 7.4 | 0.4 | 6.3 | 3.8 | 7.3 | N/A | N/A | N/A | N/A | 2.9
Kantar Emor | BNS and Postimees | 2020-05-14 | 2020-05-20 | N | 1268 | N/A | 1 | 24 | 20 | 22 | 12 | 0 | 4 | 2 | 14 | N/A | N/A | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-05-12 | 2020-05-18 | N | 1000 | N/A | 0.1 | 30.8 | 26.0 | 16.7 | 7.3 | 1.1 | 4.6 | 2.0 | 8.5 | N/A | N/A | N/A | N/A | 3.0
Turu-uuringute AS | ERR | 2020-05-07 | 2020-05-15 | N | 1004 | N/A | 1 | 30 | 27 | 15 | 7 | 0 | 6 | 2 | 8 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-05-06 | 2020-05-12 | N | 1000 | N/A | 0.1 | 28.9 | 24.8 | 17.9 | 8.2 | 0.2 | 5.9 | 2.3 | 8.1 | N/A | N/A | N/A | N/A | 3.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-04-24 | 2020-05-05 | N | 1000 | N/A | 0.1 | 29.8 | 23.8 | 19.2 | 9.3 | 0.8 | 4.6 | 2.7 | 8.6 | N/A | N/A | N/A | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-04-21 | 2020-04-27 | N | 1000 | N/A | 0.1 | 29.1 | 27.6 | 18.0 | 8.1 | 0.7 | 5.3 | 2.1 | 6.2 | N/A | N/A | N/A | N/A | 3.0
Kantar Emor | BNS and Postimees | 2020-04-20 | 2020-04-22 | N | 1280 | 79.0 | 1 | 30 | 18 | 19 | 10 | 0 | 4 | 3 | 14 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-04-15 | 2020-04-20 | N | 1000 | N/A | 0.1 | 34.6 | 22.3 | 18.1 | 8.2 | 0.2 | 5.2 | 2.3 | 6.5 | N/A | N/A | N/A | N/A | 2.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-04-07 | 2020-04-14 | N | 1000 | N/A | 0.1 | 32.9 | 23.5 | 16.3 | 8.0 | 0.4 | 6.3 | 1.8 | 8.4 | N/A | N/A | N/A | N/A | 2.4
Turu-uuringute AS | ERR | 2020-04-06 | 2020-04-07 | N | 1000 | N/A | 1 | 27 | 24 | 17 | 8 | 1 | 7 | 2 | 11 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-03-31 | 2020-04-06 | N | 1000 | N/A | 0.1 | 33.5 | 25.7 | 14.1 | 7.6 | 0.7 | 5.1 | 2.1 | 8.0 | N/A | N/A | N/A | N/A | 3.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-03-24 | 2020-03-30 | N | 1000 | N/A | 0.1 | 29.7 | 30.4 | 15.9 | 6.8 | 0.5 | 4.1 | 2.2 | 7.7 | N/A | N/A | N/A | N/A | 2.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-03-18 | 2020-03-23 | N | 1000 | N/A | 0.1 | 29.6 | 26.1 | 16.9 | 8.6 | 0.3 | 5.4 | 3.2 | 7.2 | N/A | N/A | N/A | N/A | 2.7
Kantar Emor | BNS and Postimees | 2020-03-12 | 2020-03-18 | N | 1118 | N/A | 1 | 29 | 17 | 21 | 12 | 0 | 4 | 3 | 13 | N/A | N/A | N/A | N/A | 1
Turu-uuringute AS | ERR | 2020-03-10 | 2020-03-16 | N | 1056 | N/A | 1 | 26 | 22 | 20 | 9 | 1 | 6 | 3 | 12 | N/A | N/A | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-03-10 | 2020-03-16 | N | 1000 | N/A | 0.1 | 30.7 | 26.2 | 16.5 | 7.2 | 0.2 | 6.3 | 1.8 | 9.4 | N/A | N/A | N/A | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-03-04 | 2020-03-09 | N | 1000 | N/A | 0.1 | 28.7 | 21.0 | 16.4 | 10.2 | 0.5 | 5.9 | 2.7 | 8.7 | N/A | N/A | N/A | N/A | 5.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-02-26 | 2020-03-02 | N | 1000 | N/A | 0.1 | 33.2 | 24.2 | 16.3 | 7.0 | 0.7 | 5.8 | 2.5 | 6.6 | N/A | N/A | N/A | N/A | 3.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-02-19 | 2020-02-26 | N | 1000 | N/A | 0.1 | 33.2 | 19.3 | 18.4 | 10.2 | 0.5 | 6.9 | 2.1 | 7.5 | N/A | N/A | N/A | N/A | 1.9
Kantar Emor | BNS and Postimees | 2020-02-01 | 2020-02-22 | N | N/A | N/A | 1 | 31 | 18 | 17 | 12 | N/A | 4 | 3 | 14 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2020-02-13 | 2020-02-18 | N | 1000 | N/A | 0.1 | 30.9 | 22.4 | 18.0 | 7.9 | 0.7 | 6.0 | 3.0 | 9.8 | N/A | N/A | N/A | N/A | 1.3
