Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Lab | Con | Lib Dems | SNP | Plaid | UKIP | GPEW | SGP | Reform UK | Change UK | Other
Savanta ComRes | N/A | 2021-08-20 | 2021-08-22 | N | 2083 | N/A | 1 | 34 | 41 | 9 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Opinium | The Observer | 2021-08-19 | 2021-08-20 | N | 2003 | N/A | 1 | 36 | 39 | 8 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | 4
YouGov | The Times | 2021-08-17 | 2021-08-18 | N | 1703 | N/A | 1 | 32 | 40 | 9 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 3
Redfield & Wilton Strategies | N/A | 2021-08-16 | 2021-08-16 | N | 2000 | N/A | 1 | 36 | 40 | 10 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-08-13 | 2021-08-15 | N | 2075 | N/A | 1 | 34 | 41 | 9 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
YouGov | The Times | 2021-08-11 | 2021-08-12 | N | 2169 | N/A | 1 | 32 | 40 | 9 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 3
Redfield & Wilton Strategies | N/A | 2021-08-09 | 2021-08-09 | N | 2000 | N/A | 1 | 37 | 40 | 9 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Ipsos MORI | Evening Standard | 2021-08-09 | 2021-08-09 | N | 1113 | N/A | 1 | 30 | 41 | 13 | 6 | 1 | 0 | N/A | N/A | 0 | N/A | 2
Savanta ComRes | N/A | 2021-08-06 | 2021-08-08 | N | 2047 | N/A | 1 | 33 | 41 | 10 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Opinium | The Observer | 2021-08-05 | 2021-08-06 | N | 2000 | N/A | 1 | 35 | 42 | 7 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | 4
YouGov | The Times | 2021-08-05 | 2021-08-06 | N | 1730 | N/A | 1 | 33 | 41 | 8 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-08-02 | 2021-08-02 | N | 2000 | N/A | 1 | 34 | 41 | 11 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-08-01 | 2021-08-01 | N | 2100 | N/A | 1 | 34 | 40 | 10 | 4 | 0 | N/A | N/A | N/A | 1 | N/A | 4
YouGov | The Times | 2021-07-28 | 2021-07-29 | N | 1637 | N/A | 1 | 34 | 39 | 8 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Deltapoll | N/A | 2021-07-23 | 2021-07-26 | N | 1590 | N/A | 1 | 37 | 42 | 6 | 3 | 1 | 3 | N/A | N/A | 2 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-07-25 | 2021-07-25 | N | 2000 | N/A | 1 | 36 | 40 | 9 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 2
Savanta ComRes | N/A | 2021-07-23 | 2021-07-25 | N | 2161 | N/A | 1 | 34 | 40 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Survation | N/A | 2021-07-23 | 2021-07-23 | N | 1013 | N/A | 1 | 37 | 39 | 10 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 4
Opinium | The Observer | 2021-07-22 | 2021-07-23 | N | 2000 | N/A | 1 | 35 | 43 | 8 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | 3
YouGov | The Times | 2021-07-20 | 2021-07-21 | N | 1667 | N/A | 1 | 34 | 38 | 9 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | N/A | 2021-07-19 | 2021-07-20 | N | 1032 | N/A | 1 | 35 | 39 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2021-07-19 | 2021-07-19 | N | 2000 | N/A | 1 | 33 | 42 | 10 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-07-16 | 2021-07-18 | N | 2127 | N/A | 1 | 34 | 41 | 8 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 4
YouGov | The Times | 2021-07-15 | 2021-07-16 | N | 1761 | N/A | 1 | 31 | 44 | 8 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | N/A | 2021-07-05 | 2021-07-13 | N | 2119 | N/A | 1 | 32 | 43 | 9 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2021-07-12 | 2021-07-12 | N | 2000 | N/A | 1 | 33 | 41 | 12 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Kantar | N/A | 2021-07-07 | 2021-07-12 | N | 1057 | N/A | 1 | 31 | 44 | 12 | 6 | 1 | 1 | N/A | N/A | 1 | N/A | 1
Savanta ComRes | N/A | 2021-07-09 | 2021-07-11 | N | 2137 | N/A | 1 | 35 | 40 | 9 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Opinium | The Observer | 2021-07-08 | 2021-07-09 | N | 2001 | N/A | 1 | 35 | 43 | 6 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 3
YouGov | The Times | 2021-07-07 | 2021-07-08 | N | 2054 | N/A | 1 | 30 | 42 | 9 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 3
Ipsos MORI | Evening Standard | 2021-07-02 | 2021-07-08 | N | 1053 | N/A | 1 | 31 | 40 | 13 | 6 | 1 | 1 | N/A | N/A | 0 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-07-05 | 2021-07-05 | N | 2000 | N/A | 1 | 34 | 43 | 8 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 1
Savanta ComRes | N/A | 2021-07-02 | 2021-07-04 | N | 2176 | N/A | 1 | 35 | 41 | 8 | 3 | 1 | N/A | N/A | N/A | 3 | N/A | 5
Panelbase | Sunday Times | 2021-07-02 | 2021-07-02 | N | 3391 | N/A | 1 | 33 | 44 | 10 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | 3
YouGov | The Times | 2021-06-29 | 2021-06-30 | N | 1762 | N/A | 1 | 31 | 42 | 10 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-06-28 | 2021-06-28 | N | 2000 | N/A | 1 | 34 | 41 | 9 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-06-25 | 2021-06-27 | N | 2148 | N/A | 1 | 33 | 42 | 9 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 5
Survation | N/A | 2021-06-25 | 2021-06-26 | N | 1001 | N/A | 1 | 35 | 41 | 10 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Opinium | The Observer | 2021-06-23 | 2021-06-25 | N | 2000 | N/A | 1 | 35 | 43 | 7 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | 4
YouGov | The Times | 2021-06-23 | 2021-06-24 | N | 1758 | N/A | 1 | 30 | 42 | 9 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-06-21 | 2021-06-21 | N | 2000 | N/A | 1 | 33 | 44 | 10 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-06-18 | 2021-06-20 | N | 2191 | N/A | 1 | 30 | 44 | 10 | 4 | 1 | N/A | N/A | N/A | 1 | N/A | 4
Deltapoll | N/A | 2021-06-17 | 2021-06-20 | N | 2343 | N/A | 1 | 35 | 41 | 10 | 2 | 0 | 3 | N/A | N/A | 2 | N/A | 2
YouGov | The Times | 2021-06-16 | 2021-06-17 | N | 1642 | N/A | 1 | 31 | 45 | 6 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Survation | N/A | 2021-06-11 | 2021-06-15 | N | 2024 | N/A | 1 | 33 | 41 | 8 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Number Cruncher Politics | N/A | 2021-06-07 | 2021-06-14 | N | 1517 | N/A | 1 | 34 | 45 | 5 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-06-13 | 2021-06-13 | N | 2000 | N/A | 1 | 34 | 44 | 9 | 4 | 0 | N/A | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2021-06-11 | 2021-06-13 | N | 2108 | N/A | 1 | 34 | 41 | 8 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Deltapoll | Mail on Sunday | 2021-06-10 | 2021-06-12 | N | 1608 | N/A | 1 | 34 | 46 | 7 | 2 | 1 | 3 | N/A | N/A | 2 | N/A | 0
Opinium | The Observer | 2021-06-10 | 2021-06-11 | N | 2002 | N/A | 1 | 34 | 43 | 6 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | 4
Survation | N/A | 2021-06-09 | 2021-06-10 | N | 2017 | N/A | 1 | 35 | 42 | 9 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
YouGov | The Times | 2021-06-09 | 2021-06-10 | N | 1630 | N/A | 1 | 31 | 44 | 7 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-06-07 | 2021-06-07 | N | 2000 | N/A | 1 | 36 | 43 | 7 | 5 | 0 | N/A | N/A | N/A | 1 | N/A | 2
Kantar | N/A | 2021-06-03 | 2021-06-07 | N | 1122 | N/A | 1 | 32 | 45 | 8 | 4 | 1 | 1 | N/A | N/A | 2 | N/A | 2
Savanta ComRes | N/A | 2021-06-04 | 2021-06-06 | N | 2089 | N/A | 1 | 32 | 44 | 8 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Ipsos MORI | Evening Standard | 2021-06-03 | 2021-06-03 | N | 1002 | N/A | 1 | 35 | 44 | 6 | 5 | 1 | 0 | N/A | N/A | 0 | N/A | 0
YouGov | The Times | 2021-06-02 | 2021-06-03 | N | 1703 | N/A | 1 | 30 | 46 | 6 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Survation | N/A | 2021-06-01 | 2021-06-02 | N | 1533 | N/A | 1 | 33 | 41 | 9 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2021-05-31 | 2021-05-31 | N | 2000 | N/A | 1 | 34 | 45 | 8 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-05-28 | 2021-05-30 | N | 2180 | N/A | 1 | 32 | 42 | 9 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Opinium | The Observer | 2021-05-27 | 2021-05-28 | N | 2004 | N/A | 1 | 36 | 42 | 6 | 5 | 1 | 1 | N/A | N/A | 1 | N/A | 2
YouGov | The Times | 2021-05-27 | 2021-05-28 | N | 1705 | N/A | 1 | 29 | 43 | 8 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | Daily Mail | 2021-05-27 | 2021-05-28 | N | 1010 | N/A | 1 | 33 | 43 | 10 | 5 | 0 | N/A | N/A | N/A | N/A | N/A | 5
Number Cruncher Politics | N/A | 2021-05-27 | 2021-05-28 | N | 1001 | N/A | 1 | 32 | 44 | 7 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 1
Survation | N/A | 2021-05-25 | 2021-05-26 | N | 1041 | N/A | 1 | 33 | 44 | 8 | 4 | 0 | N/A | N/A | N/A | N/A | N/A | 4
Redfield & Wilton Strategies | N/A | 2021-05-24 | 2021-05-24 | N | 2000 | N/A | 1 | 33 | 43 | 10 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-05-21 | 2021-05-23 | N | 2215 | N/A | 1 | 34 | 43 | 9 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 5
YouGov | The Times | 2021-05-19 | 2021-05-20 | N | 1699 | N/A | 1 | 28 | 46 | 8 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-05-17 | 2021-05-17 | N | 2000 | N/A | 1 | 33 | 42 | 10 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Savanta ComRes | N/A | 2021-05-14 | 2021-05-16 | N | 2131 | N/A | 1 | 32 | 43 | 8 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 5
Opinium | The Observer | 2021-05-13 | 2021-05-14 | N | 2004 | N/A | 1 | 31 | 44 | 8 | 5 | 1 | 2 | N/A | N/A | 0 | N/A | 3
YouGov | N/A | 2021-05-11 | 2021-05-12 | N | 1647 | N/A | 1 | 30 | 45 | 7 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-05-10 | 2021-05-10 | N | 2000 | N/A | 1 | 34 | 45 | 8 | 4 | 0 | N/A | N/A | N/A | 2 | N/A | 2
Savanta ComRes | N/A | 2021-05-07 | 2021-05-09 | N | 2152 | N/A | 1 | 34 | 42 | 8 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | 8
YouGov | The Times | 2021-05-04 | 2021-05-05 | N | 1683 | N/A | 1 | 33 | 43 | 7 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Panelbase | N/A | 2021-05-04 | 2021-05-05 | N | 1003 | N/A | 1 | 36 | 45 | 6 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 3
Redfield & Wilton Strategies | N/A | 2021-05-03 | 2021-05-03 | N | 2000 | N/A | 1 | 38 | 40 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2021-05-02 | 2021-05-02 | N | 2000 | N/A | 1 | 36 | 40 | 8 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Focaldata | The Sunday Times | 2021-04-29 | 2021-04-30 | N | 1555 | N/A | 1 | 39 | 40 | 6 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Opinium | The Observer | 2021-04-28 | 2021-04-30 | N | 2001 | N/A | 1 | 37 | 42 | 7 | 5 | 1 | 2 | N/A | N/A | 0 | N/A | 2
Number Cruncher Politics | N/A | 2021-04-28 | 2021-04-29 | N | 1001 | N/A | 1 | 34 | 43 | 5 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Survation | Daily Mail | 2021-04-27 | 2021-04-29 | N | 1077 | N/A | 1 | 38 | 39 | 9 | 4 | 0 | N/A | N/A | N/A | N/A | N/A | 5
YouGov | The Times | 2021-04-27 | 2021-04-28 | N | 1803 | N/A | 1 | 33 | 44 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-04-26 | 2021-04-26 | N | 2000 | N/A | 1 | 34 | 44 | 8 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
BMG Research | The Independent | 2021-04-22 | 2021-04-26 | N | 1500 | N/A | 1 | 35 | 39 | 9 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Kantar | N/A | 2021-04-22 | 2021-04-26 | N | 1115 | N/A | 1 | 33 | 41 | 10 | 5 | 0 | 1 | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2021-04-23 | 2021-04-25 | N | 2144 | N/A | 1 | 35 | 42 | 8 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Opinium | The Observer | 2021-04-21 | 2021-04-23 | N | 2000 | N/A | 1 | 33 | 44 | 7 | 6 | 1 | 2 | N/A | N/A | 0 | N/A | 3
YouGov | The Times | 2021-04-21 | 2021-04-22 | N | 1730 | N/A | 1 | 34 | 44 | 5 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Ipsos MORI | Evening Standard | 2021-04-16 | 2021-04-22 | N | 1090 | N/A | 1 | 37 | 40 | 8 | 6 | 1 | 1 | N/A | N/A | 2 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-04-19 | 2021-04-19 | N | 2000 | N/A | 1 | 34 | 44 | 10 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | N/A | 2021-04-15 | 2021-04-19 | N | 1008 | N/A | 1 | 34 | 40 | 9 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 6
Savanta ComRes | N/A | 2021-04-16 | 2021-04-18 | N | 2094 | N/A | 1 | 34 | 43 | 7 | 5 | 1 | N/A | N/A | N/A | 1 | N/A | 5
YouGov | N/A | 2021-04-13 | 2021-04-14 | N | 1689 | N/A | 1 | 29 | 43 | 8 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-04-12 | 2021-04-12 | N | 2000 | N/A | 1 | 36 | 43 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2021-04-09 | 2021-04-11 | N | 1339 | N/A | 1 | 35 | 42 | 7 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Deltapoll | The Mail on Sunday | 2021-04-08 | 2021-04-10 | N | 1608 | N/A | 1 | 36 | 45 | 6 | 2 | 0 | 2 | N/A | N/A | 4 | N/A | 1
Survation | N/A | 2021-04-08 | 2021-04-10 | N | 1009 | N/A | 1 | 35 | 43 | 8 | 3 | 1 | N/A | N/A | N/A | N/A | N/A | 5
Opinium | The Observer | 2021-04-08 | 2021-04-09 | N | 2006 | N/A | 1 | 36 | 45 | 6 | 6 | 1 | 1 | N/A | N/A | 0 | N/A | 2
YouGov | The Times | 2021-04-07 | 2021-04-08 | N | 1708 | N/A | 1 | 34 | 41 | 6 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 3
Redfield & Wilton Strategies | N/A | 2021-04-05 | 2021-04-05 | N | 2000 | N/A | 1 | 34 | 44 | 9 | 4 | 0 | N/A | N/A | N/A | 2 | N/A | 2
Savanta ComRes | N/A | 2021-04-02 | 2021-04-04 | N | 2065 | N/A | 1 | 35 | 42 | 8 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 4
YouGov | The Times | 2021-04-01 | 2021-04-01 | N | 1736 | N/A | 1 | 34 | 42 | 7 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-03-29 | 2021-03-29 | N | 2000 | N/A | 1 | 36 | 44 | 7 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Kantar | N/A | 2021-03-25 | 2021-03-29 | N | 1102 | N/A | 1 | 34 | 42 | 9 | 7 | 1 | 1 | N/A | N/A | 2 | N/A | 1
Deltapoll | Mail on Sunday | 2021-03-25 | 2021-03-27 | N | 1610 | N/A | 1 | 36 | 44 | 6 | 2 | 0 | 4 | N/A | N/A | 3 | N/A | 1
Opinium | The Observer | 2021-03-25 | 2021-03-26 | N | 2002 | N/A | 1 | 37 | 41 | 6 | 6 | 1 | 2 | N/A | N/A | 1 | N/A | 2
YouGov | The Times | 2021-03-25 | 2021-03-26 | N | 1742 | N/A | 1 | 32 | 42 | 8 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-03-22 | 2021-03-22 | N | 2000 | N/A | 1 | 36 | 42 | 9 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2021-03-19 | 2021-03-21 | N | N/A | N/A | 1 | 38 | 42 | 6 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
YouGov | The Times | 2021-03-18 | 2021-03-19 | N | 1692 | N/A | 1 | 34 | 43 | 5 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
BMG Research | The Independent | 2021-03-16 | 2021-03-19 | N | 1498 | N/A | 1 | 37 | 39 | 9 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Number Cruncher Politics | N/A | 2021-03-12 | 2021-03-16 | N | 1001 | N/A | 1 | 37 | 42 | 7 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-03-15 | 2021-03-15 | N | 2000 | N/A | 1 | 36 | 43 | 7 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2021-03-14 | 2021-03-14 | N | 2000 | N/A | 1 | 37 | 39 | 8 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Opinium | The Observer | 2021-03-11 | 2021-03-12 | N | 2001 | N/A | 1 | 37 | 43 | 6 | 5 | 1 | 1 | N/A | N/A | 0 | N/A | 2
Ipsos MORI | Evening Standard | 2021-03-05 | 2021-03-12 | N | 1009 | N/A | 1 | 38 | 45 | 6 | 5 | 0 | N/A | N/A | N/A | 0 | N/A | 1
YouGov | The Times | 2021-03-09 | 2021-03-10 | N | 1680 | N/A | 1 | 33 | 42 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | Sunday Mirror | 2021-03-09 | 2021-03-10 | N | 1037 | N/A | 1 | 33 | 43 | 9 | 5 | 1 | N/A | N/A | N/A | 1 | N/A | 4
Redfield & Wilton Strategies | N/A | 2021-03-08 | 2021-03-08 | N | 2000 | N/A | 1 | 36 | 45 | 7 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2021-03-05 | 2021-03-07 | N | 2129 | N/A | 1 | 36 | 42 | 8 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 4
YouGov | The Times | 2021-03-03 | 2021-03-04 | N | 1715 | N/A | 1 | 32 | 45 | 6 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-03-01 | 2021-03-01 | N | 1500 | N/A | 1 | 38 | 44 | 7 | 4 | 0 | N/A | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2021-02-26 | 2021-02-28 | N | 2182 | N/A | 1 | 36 | 43 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 3
YouGov | The Times | 2021-02-25 | 2021-02-26 | N | 1637 | N/A | 1 | 36 | 41 | 5 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Opinium | The Observer | 2021-02-24 | 2021-02-26 | N | 2003 | N/A | 1 | 36 | 43 | 7 | 6 | 1 | 1 | N/A | N/A | 0 | N/A | 2
Deltapoll | Mail on Sunday | 2021-02-24 | 2021-02-26 | N | 1527 | N/A | 1 | 38 | 42 | 6 | 2 | 0 | 3 | N/A | N/A | 3 | N/A | 1
Survation | N/A | 2021-02-23 | 2021-02-25 | N | 1002 | N/A | 1 | 34 | 42 | 7 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2021-02-22 | 2021-02-22 | N | 2000 | N/A | 1 | 37 | 43 | 7 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Kantar | N/A | 2021-02-18 | 2021-02-22 | N | 1114 | N/A | 1 | 33 | 40 | 11 | 4 | 1 | 3 | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2021-02-19 | 2021-02-21 | N | 2189 | N/A | 1 | 38 | 40 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 5
YouGov | The Times | 2021-02-17 | 2021-02-18 | N | 1663 | N/A | 1 | 37 | 40 | 7 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-02-15 | 2021-02-15 | N | 2000 | N/A | 1 | 39 | 41 | 8 | 5 | 0 | N/A | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2021-02-12 | 2021-02-14 | N | 2170 | N/A | 1 | 37 | 42 | 7 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 4
Opinium | The Observer | 2021-02-11 | 2021-02-12 | N | 2006 | N/A | 1 | 37 | 42 | 6 | 5 | 1 | 1 | N/A | N/A | 0 | N/A | 3
YouGov | The Times | 2021-02-09 | 2021-02-10 | N | 1660 | N/A | 1 | 36 | 41 | 6 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 3
Redfield & Wilton Strategies | N/A | 2021-02-08 | 2021-02-08 | N | 2000 | N/A | 1 | 38 | 43 | 7 | 5 | 0 | N/A | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2021-02-05 | 2021-02-07 | N | 2119 | N/A | 1 | 37 | 41 | 8 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Survation | N/A | 2021-02-05 | 2021-02-06 | N | 1003 | N/A | 1 | 33 | 39 | 9 | 5 | 1 | N/A | N/A | N/A | N/A | N/A | 5
Ipsos MORI | Evening Standard | 2021-02-04 | 2021-02-04 | N | 1056 | N/A | 1 | 38 | 42 | 7 | 5 | 0 | N/A | N/A | N/A | 0 | N/A | 0
YouGov | The Times | 2021-02-02 | 2021-02-03 | N | 1684 | N/A | 1 | 37 | 41 | 6 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Find Out Now | N/A | 2021-02-02 | 2021-02-02 | N | 5002 | N/A | 1 | 38 | 39 | 7 | 6 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Number Cruncher Politics | ITV | 2021-02-01 | 2021-02-01 | N | 2001 | N/A | 1 | 37 | 43 | 5 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2021-02-01 | 2021-02-01 | N | 2000 | N/A | 1 | 38 | 40 | 8 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2021-01-29 | 2021-01-31 | N | 2070 | N/A | 1 | 38 | 41 | 6 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Opinium | The Observer | 2021-01-28 | 2021-01-29 | N | 2002 | N/A | 1 | 38 | 41 | 7 | 5 | 1 | 2 | N/A | N/A | 1 | N/A | 1
YouGov | The Times | 2021-01-26 | 2021-01-27 | N | 1721 | N/A | 1 | 41 | 37 | 6 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 3
Redfield & Wilton Strategies | N/A | 2021-01-25 | 2021-01-25 | N | 2000 | N/A | 1 | 37 | 42 | 8 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Kantar | N/A | 2021-01-21 | 2021-01-25 | N | 1100 | N/A | 1 | 37 | 40 | 10 | 4 | N/A | 1 | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2021-01-22 | 2021-01-24 | N | 2070 | N/A | 1 | 37 | 40 | 8 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Deltapoll | N/A | 2021-01-21 | 2021-01-23 | N | 1632 | N/A | 1 | 39 | 41 | 7 | 4 | 0 | 3 | N/A | N/A | 2 | N/A | 1
YouGov | The Times | 2021-01-21 | 2021-01-22 | N | 1703 | N/A | 1 | 38 | 39 | 5 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2021-01-18 | 2021-01-18 | N | 2000 | N/A | 1 | 38 | 40 | 8 | 4 | 0 | N/A | N/A | N/A | 2 | N/A | 2
Savanta ComRes | N/A | 2021-01-15 | 2021-01-17 | N | 1914 | N/A | 1 | 37 | 39 | 7 | 5 | 0 | N/A | N/A | N/A | 2 | N/A | 5
Opinium | The Observer | 2021-01-14 | 2021-01-15 | N | 2003 | N/A | 1 | 41 | 37 | 6 | 6 | 1 | 1 | N/A | N/A | N/A | N/A | 3
YouGov | The Times | 2021-01-13 | 2021-01-14 | N | 1702 | N/A | 1 | 39 | 38 | 5 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | N/A | 2021-01-12 | 2021-01-13 | N | 1033 | N/A | 1 | 38 | 40 | 7 | 4 | 0 | N/A | N/A | N/A | 1 | N/A | 6
