Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
Interview | Politic.gr | 2022-12-15 | 2022-12-19 | N | 1655 | N/A | 0.1 | 36.7 | 27.1 | 11.3 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.4 | 1.7 | 1.8 | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2022-12-13 | 2022-12-15 | N | 1000 | N/A | 0.1 | 36.8 | 29.5 | 11.5 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 4.5 | 2.7 | 2.1 | 1.6 | N/A | N/A | N/A | N/A
MRB | N/A | 2022-12-01 | 2022-12-09 | N | 2000 | N/A | 0.1 | 33.5 | 27.2 | 13.3 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.4 | 3.2 | 1.2 | N/A | N/A | N/A | N/A
Opinion Poll | Lykavitos | 2022-11-29 | 2022-12-02 | N | 1251 | N/A | 0.1 | 38.1 | 28.7 | 13.3 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 4.6 | 2.7 | 2.9 | 1.2 | N/A | N/A | N/A | N/A
RASS | Action 24 | 2022-11-28 | 2022-12-02 | N | 1002 | N/A | 0.1 | 35.5 | 26.7 | 15.7 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 4.3 | 3.7 | 2.4 | N/A | N/A | N/A | N/A | N/A
GPO | Star TV | 2022-11-24 | 2022-11-28 | N | 1200 | N/A | 0.1 | 37.1 | 29.4 | 12.6 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 3.9 | 2.5 | 2.0 | 1.4 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-11-22 | 2022-11-27 | N | 1030 | N/A | 0.1 | 36.8 | 27.6 | 13.0 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.5 | 2.6 | 1.2 | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-11-19 | 2022-11-22 | N | 1905 | N/A | 0.1 | 35.9 | 29.9 | 12.6 | N/A | 5.4 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.0 | 1.8 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-11-19 | 2022-11-22 | N | 1205 | N/A | 0.1 | 36.6 | 29.1 | 12.6 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.4 | 2.9 | 1.1 | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2022-11-16 | 2022-11-22 | N | N/A | N/A | 0.1 | 36.5 | 26.4 | 14.3 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 4.3 | 4.5 | 2.3 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-11-17 | 2022-11-21 | N | 1605 | N/A | 0.1 | 35.7 | 28.0 | 11.3 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.9 | 1.4 | 1.7 | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2022-11-14 | 2022-11-18 | N | 1000 | N/A | 0.1 | 35.3 | 26.8 | 13.3 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.7 | 3.2 | 2.4 | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2022-11-08 | 2022-11-10 | N | 1000 | N/A | 0.1 | 36.6 | 29.9 | 12.2 | N/A | 6.8 | N/A | N/A | N/A | N/A | N/A | 4.2 | 2.7 | 2.0 | 1.7 | N/A | N/A | N/A | N/A
MRB | Open TV | 2022-10-31 | 2022-11-02 | N | 1000 | N/A | 0.1 | 35.5 | 28.0 | 14.0 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.7 | 3.2 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-10-23 | 2022-10-25 | N | 1207 | N/A | 0.1 | 37.2 | 29.1 | 12.6 | 1.1 | 5.7 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.9 | 2.3 | 1.7 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-10-18 | 2022-10-22 | N | 1050 | N/A | 0.1 | 37.4 | 27.3 | 12.9 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.1 | 3.6 | 2.5 | 1.4 | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-10-13 | 2022-10-19 | N | 1575 | N/A | 0.1 | 35.6 | 27.6 | 12.0 | N/A | 7.1 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.3 | 1.3 | 1.8 | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2022-10-12 | 2022-10-15 | N | 1200 | N/A | 0.1 | 37.6 | 29.4 | 11.8 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.4 | 3.0 | 1.8 | N/A | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2022-10-10 | 2022-10-14 | N | 1002 | N/A | 0.1 | 35.6 | 26.1 | 13.0 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.8 | 3.6 | 2.3 | N/A | N/A | N/A | N/A | N/A
MRB | Newsbomb | 2022-10-10 | 2022-10-12 | N | 1000 | N/A | 0.1 | 35.6 | 27.4 | 13.5 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.7 | 2.9 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-09-22 | 2022-09-27 | N | 1455 | N/A | 0.1 | 35.3 | 26.2 | 11.6 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 5.6 | 3.9 | 1.3 | 1.9 | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2022-09-22 | 2022-09-26 | N | 1300 | N/A | 0.1 | 35.8 | 25.4 | 15.0 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.9 | 4.2 | 2.6 | 1.2 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-09-20 | 2022-09-24 | N | 1166 | N/A | 0.1 | 37.6 | 27.6 | 13.1 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.2 | 2.3 | 1.1 | N/A | N/A | N/A | N/A
Palmos Analysis | The Caller | 2022-09-20 | 2022-09-23 | N | 1027 | N/A | 0.1 | 36.5 | 25.4 | 14.1 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 4.8 | 5.0 | 2.5 | N/A | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2022-09-19 | 2022-09-23 | N | 1001 | N/A | 0.1 | 35.9 | 26.7 | 13.6 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.7 | 2.5 | N/A | N/A | N/A | N/A | N/A
MRB | Open TV | 2022-09-19 | 2022-09-21 | N | 1000 | N/A | 0.1 | 35.7 | 27.2 | 13.4 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.0 | 4.2 | 2.6 | 1.3 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-09-18 | 2022-09-20 | N | 1012 | N/A | 0.1 | 37.9 | 29.4 | 13.0 | N/A | 5.1 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.4 | 2.3 | 1.1 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-09-12 | 2022-09-15 | N | 1105 | N/A | 0.1 | 37.9 | 28.8 | 12.4 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 4.5 | 2.8 | 2.3 | 1.1 | N/A | N/A | N/A | N/A
Opinion Poll | Mononews | 2022-09-12 | 2022-09-14 | N | 1004 | N/A | 0.1 | 38.3 | 27.5 | 14.1 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.7 | 2.7 | 2.3 | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2022-09-12 | 2022-09-14 | N | 1000 | N/A | 0.1 | 37.2 | 28.3 | 13.0 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.6 | 2.4 | 1.9 | 1.7 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-09-08 | 2022-09-09 | N | 1006 | N/A | 0.1 | 36.8 | 28.7 | 13.2 | 1.1 | 5.7 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.9 | 2.3 | 1.1 | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-09-02 | 2022-09-05 | N | 1010 | N/A | 0.1 | 35.7 | 29.8 | 13.1 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.0 | 2.4 | N/A | N/A | N/A | N/A | N/A
MRB | Newsbomb | 2022-08-31 | 2022-09-05 | N | 1000 | N/A | 0.1 | 34.5 | 26.7 | 14.6 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.4 | 4.9 | 2.4 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2022-08-29 | 2022-08-31 | N | 1003 | N/A | 0.1 | 34.0 | 24.9 | 15.7 | N/A | 7.5 | N/A | N/A | N/A | N/A | N/A | 4.2 | 4.9 | 2.0 | 2.0 | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-08-23 | 2022-08-29 | N | 1569 | N/A | 0.1 | 35.8 | 26.7 | 12.8 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 6.0 | 3.9 | 1.3 | 2.0 | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2022-08-22 | 2022-08-25 | N | 1001 | N/A | 0.1 | 36.4 | 26.7 | 14.0 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.7 | 3.4 | 2.0 | 1.1 | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2022-08-22 | 2022-08-24 | N | 1000 | N/A | 0.1 | 35.8 | 28.7 | 13.8 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 5.5 | 2.4 | 1.8 | 1.4 | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-07-21 | 2022-07-24 | N | 1300 | N/A | 0.1 | 35.6 | 29.3 | 13.2 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.9 | 2.3 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2022-07-16 | 2022-07-20 | N | 1009 | N/A | 0.1 | 37.2 | 26.6 | 13.6 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.2 | 2.1 | 1.2 | N/A | N/A | N/A | N/A
Opinion Poll | tomanifesto.gr | 2022-07-12 | 2022-07-15 | N | 1015 | N/A | 0.1 | 36.9 | 26.6 | 13.8 | N/A | 5.9 | N/A | N/A | N/A | 1.3 | N/A | 5.6 | 2.9 | 2.6 | 1.3 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-07-11 | 2022-07-13 | N | 1351 | N/A | 0.1 | 36.9 | 28.4 | 14.2 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.8 | 2.3 | 1.1 | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-07-04 | 2022-07-06 | N | 1305 | N/A | 0.1 | 36.0 | 26.8 | 13.6 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.6 | 3.4 | 1.4 | 1.7 | N/A | N/A | N/A | N/A
Alco | Open TV | 2022-06-27 | 2022-07-04 | N | 1400 | N/A | 0.1 | 35.2 | 25.3 | 14.4 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.9 | 3.5 | 1.9 | 1.3 | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2022-06-28 | 2022-07-01 | N | 1200 | N/A | 0.1 | 37.8 | 27.6 | 12.7 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.3 | 2.6 | 2.2 | N/A | N/A | N/A | N/A | N/A
MRB | N/A | 2022-06-22 | 2022-06-30 | N | 2000 | N/A | 0.1 | 34.1 | 25.7 | 14.2 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.6 | 2.2 | 1.4 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-06-22 | 2022-06-25 | N | 1059 | N/A | 0.1 | 37.1 | 25.7 | 14.6 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.3 | 2.4 | 1.6 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-06-06 | 2022-06-08 | N | 1206 | N/A | 0.1 | 36.4 | 27.3 | 15.3 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 4.5 | 2.8 | 2.3 | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-05-30 | 2022-06-01 | N | 1070 | N/A | 0.1 | 36.0 | 29.1 | 14.5 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 4.1 | 2.3 | 1.7 | N/A | N/A | N/A | N/A | N/A
Κάπα Research | N/A | 2022-05-27 | 2022-06-01 | N | 1004 | N/A | 0.1 | 37.6 | 28.1 | 14.1 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.3 | 1.4 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-05-24 | 2022-05-31 | N | 1485 | N/A | 0.1 | 35.3 | 24.5 | 14.5 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.9 | 3.3 | 1.6 | 1.8 | N/A | N/A | N/A | N/A
Alco | Open TV | 2022-05-23 | 2022-05-28 | N | 1000 | N/A | 0.1 | 35.5 | 25.8 | 14.5 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.2 | 4.1 | 2.5 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2022-05-16 | 2022-05-23 | N | 1300 | N/A | 0.1 | 36.1 | 25.7 | 15.0 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.7 | 2.8 | 1.3 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-05-18 | 2022-05-22 | N | 1037 | N/A | 0.1 | 37.0 | 25.5 | 15.3 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.2 | 2.3 | 1.3 | N/A | N/A | N/A | N/A
MRB | Newsbomb | 2022-05-16 | 2022-05-18 | N | 1004 | N/A | 0.1 | 35.0 | 26.1 | 14.2 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.6 | 2.8 | 1.6 | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2022-05-16 | 2022-05-18 | N | 1000 | N/A | 0.1 | 37.6 | 27.2 | 13.8 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.2 | 2.7 | 2.1 | 1.4 | N/A | N/A | N/A | N/A
Opinion Poll | tomanifesto.gr | 2022-05-11 | 2022-05-13 | N | 1001 | N/A | 0.1 | 36.7 | 25.6 | 14.9 | N/A | 5.5 | N/A | N/A | N/A | 1.6 | N/A | 6.3 | 3.1 | 1.6 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-05-09 | 2022-05-11 | N | 1206 | N/A | 0.1 | 35.4 | 26.4 | 15.7 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 4.5 | 3.4 | 2.2 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2022-05-07 | 2022-05-11 | N | 1014 | N/A | 0.1 | 36.9 | 25.1 | 15.5 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.1 | 3.5 | 2.4 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-05-04 | 2022-05-09 | N | 1485 | N/A | 0.1 | 34.9 | 25.0 | 14.1 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 6.2 | 3.8 | 1.5 | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2022-05-04 | 2022-05-07 | N | 1200 | N/A | 0.1 | 36.1 | 26.7 | 14.8 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.4 | 2.8 | 2.2 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2022-04-26 | 2022-04-30 | N | 1000 | N/A | 0.1 | 35.5 | 26.1 | 15.1 | N/A | 7.0 | N/A | N/A | N/A | 1.2 | N/A | 5.7 | 3.5 | 2.1 | N/A | N/A | N/A | N/A | N/A
DATA RC | Πελοπόννησος & Dnews | 2022-03-28 | 2022-04-15 | N | 1026 | N/A | 0.1 | 36.0 | 28.9 | 15.0 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.5 | 2.0 | 1.3 | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-04-08 | 2022-04-11 | N | 1236 | N/A | 0.1 | 35.5 | 29.0 | 14.2 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 4.1 | 2.4 | 2.4 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-03-30 | 2022-04-05 | N | 1410 | N/A | 0.1 | 34.2 | 24.3 | 16.1 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 5.6 | 3.4 | 1.6 | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Mononews | 2022-03-30 | 2022-04-01 | N | 1001 | N/A | 0.1 | 36.8 | 25.9 | 15.4 | N/A | 5.1 | N/A | N/A | N/A | N/A | N/A | 5.7 | 3.5 | 2.7 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-03-27 | 2022-03-29 | N | 1207 | N/A | 0.1 | 35.4 | 26.3 | 15.4 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.6 | 2.9 | 1.7 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2022-03-21 | 2022-03-26 | N | 1000 | N/A | 0.1 | 36.2 | 25.9 | 15.1 | N/A | 6.8 | N/A | N/A | N/A | 1.3 | N/A | 5.2 | 3.3 | 2.1 | N/A | N/A | N/A | N/A | N/A
MRB | Newsbomb | 2022-03-18 | 2022-03-26 | N | 1000 | N/A | 0.1 | 34.9 | 25.9 | 16.4 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 6.0 | 3.8 | 2.6 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2022-03-16 | 2022-03-21 | N | 1304 | N/A | 0.1 | 34.2 | 24.6 | 16.7 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.9 | 4.4 | 2.9 | N/A | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-03-16 | 2022-03-21 | N | 1070 | N/A | 0.1 | 35.6 | 24.9 | 16.2 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.4 | 3.4 | 2.5 | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-03-11 | 2022-03-14 | N | 1000 | N/A | 0.1 | 36.7 | 28.4 | 14.8 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 4.1 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2022-03-09 | 2022-03-11 | N | 1000 | N/A | 0.1 | 37.6 | 26.3 | 16.3 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.9 | 2.7 | 2.0 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2022-03-08 | 2022-03-10 | N | 1026 | N/A | 0.1 | 37.3 | 24.3 | 16.6 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 5.4 | 2.8 | 2.2 | N/A | N/A | N/A | N/A | N/A
Abacus Research | Alpha TV | 2022-03-02 | 2022-03-08 | N | 1026 | N/A | 0.1 | 34.5 | 23.5 | 16.5 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 4.5 | 2.8 | 2.8 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-03-02 | 2022-03-06 | N | 1405 | N/A | 0.1 | 36.5 | 23.4 | 17.4 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 5.3 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-02-25 | 2022-02-28 | N | 1205 | N/A | 0.1 | 36.2 | 26.0 | 15.8 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 4.5 | 3.4 | 2.3 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2022-02-14 | 2022-02-18 | N | 1000 | N/A | 0.1 | 37.3 | 26.1 | 16.6 | N/A | 6.1 | N/A | N/A | N/A | 1.3 | N/A | 4.2 | 3.5 | 2.5 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-02-10 | 2022-02-14 | N | 1406 | N/A | 0.1 | 36.8 | 24.3 | 16.3 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 5.6 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-02-08 | 2022-02-12 | N | 1037 | N/A | 0.1 | 37.3 | 24.9 | 17.3 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.4 | 3.0 | 2.0 | N/A | N/A | N/A | N/A | N/A
Opinion Poll | tomanifesto.gr | 2022-02-07 | 2022-02-12 | N | 1251 | N/A | 0.1 | 38.5 | 24.2 | 17.5 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 4.9 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2022-01-31 | 2022-02-03 | N | 1000 | N/A | 0.1 | 36.2 | 25.5 | 16.7 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 4.5 | 3.5 | 2.0 | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2022-01-28 | 2022-01-31 | N | 1000 | N/A | 0.1 | 37.0 | 28.9 | 15.0 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-01-26 | 2022-01-29 | N | 1308 | N/A | 0.1 | 35.2 | 25.0 | 15.9 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.1 | 2.8 | 1.7 | N/A | N/A | N/A | N/A | N/A
Abacus Research | Alpha TV | 2022-01-19 | 2022-01-23 | N | 1012 | N/A | 0.1 | 39.0 | 21.3 | 20.7 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 2.4 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | ANT1 | 2022-01-18 | 2022-01-22 | N | 1002 | N/A | 0.1 | 38.2 | 23.7 | 17.4 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.4 | 2.8 | 1.9 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2022-01-12 | 2022-01-18 | N | 1306 | N/A | 0.1 | 36.1 | 24.3 | 18.6 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.1 | 4.1 | 1.9 | N/A | N/A | N/A | N/A | N/A
Prorata | iEidiseis | 2022-01-14 | 2022-01-16 | N | 1000 | N/A | 0.1 | 37.4 | 29.3 | 13.8 | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2022-01-10 | 2022-01-12 | N | 1414 | N/A | 0.1 | 37.9 | 25.5 | 14.0 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 5.1 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-12-13 | 2021-12-18 | N | 1000 | N/A | 0.1 | 37.3 | 24.2 | 15.6 | 2.5 | 6.2 | N/A | N/A | N/A | 1.3 | N/A | 4.2 | 4.0 | 1.2 | N/A | N/A | N/A | N/A | N/A
GPO | Powergame.gr | 2021-12-13 | 2021-12-17 | N | 1000 | N/A | 0.1 | 38.0 | 25.4 | 15.5 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.5 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2021-12-13 | 2021-12-16 | N | 1010 | N/A | 0.1 | 38.5 | 22.4 | 17.7 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.4 | 2.5 | 1.5 | N/A | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2021-12-14 | 2021-12-15 | N | 1885 | N/A | 0.1 | 37.9 | 28.7 | 12.6 | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | 4.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2021-12-13 | 2021-12-15 | N | 1365 | N/A | 0.1 | 38.1 | 26.8 | 13.9 | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | N/A | 2021-12-13 | 2021-12-14 | N | 1003 | N/A | 0.1 | 39.3 | 27.3 | 13.5 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 4.3 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | N/A | 2021-12-13 | 2021-12-14 | N | 1000 | N/A | 0.1 | 37.9 | 24.4 | 16.7 | N/A | 5.1 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.3 | 1.9 | N/A | N/A | N/A | N/A | N/A
MRB | N/A | 2021-12-01 | 2021-12-10 | N | 1500 | N/A | 0.1 | 38.2 | 25.9 | 12.8 | N/A | 5.6 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.7 | 2.3 | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2021-11-22 | 2021-11-25 | N | 1000 | N/A | 0.1 | 40.4 | 27.8 | 11.1 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.5 | 1.8 | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2021-11-20 | 2021-11-25 | N | 4012 | N/A | 0.1 | 38.2 | 26.6 | 11.0 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.6 | 3.5 | 1.7 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2021-11-16 | 2021-11-23 | N | 1503 | N/A | 0.1 | 40.0 | 24.8 | 12.8 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 5.6 | 4.4 | 1.6 | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2021-11-15 | 2021-11-20 | N | 1000 | N/A | 0.1 | 38.3 | 27.1 | 11.1 | 1.9 | 6.4 | N/A | N/A | N/A | 1.8 | N/A | 4.9 | 3.6 | 1.9 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2021-11-14 | 2021-11-18 | N | 1003 | N/A | 0.1 | 41.3 | 26.7 | 11.1 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.5 | 3.8 | 1.4 | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2021-11-12 | 2021-11-17 | N | 3281 | N/A | 0.1 | 38.2 | 26.6 | 11.0 | 1.2 | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.1 | 4.4 | 2.4 | N/A | N/A | N/A | N/A | N/A
