Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | H | Ap | FrP | Sp | SV | V | KrF | MDG | R | ND | INP | Lib | Pp | K | Kp | Hp | FP | Other
Ipsos | Dagbladet | 2021-11-22 | 2021-11-24 | N | 941 | N/A | 0.1 | 22.3 | 24.0 | 11.3 | 13.4 | 9.3 | 4.5 | 2.5 | 4.2 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norstat | Vårt Land | 2021-11-16 | 2021-11-22 | N | 964 | N/A | 0.1 | 20.5 | 24.3 | 13.0 | 11.6 | 9.9 | 4.4 | 3.4 | 3.4 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Respons Analyse | VG | 2021-11-10 | 2021-11-15 | N | 1001 | N/A | 0.1 | 21.7 | 25.5 | 11.0 | 13.1 | 8.5 | 5.2 | 2.8 | 4.1 | 4.8 | 0.9 | 0.6 | 0.4 | 0.4 | 0.2 | 0.1 | 0.1 | N/A | 0.6
Sentio | Amedia and Nettavisen | 2021-11-09 | 2021-11-14 | N | 1000 | N/A | 0.1 | 20.7 | 27.3 | 11.1 | 11.4 | 8.5 | 5.0 | 3.9 | 4.1 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-11-02 | 2021-11-08 | N | 962 | N/A | 0.1 | 20.9 | 26.0 | 12.0 | 13.3 | 8.8 | 4.8 | 3.6 | 3.0 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norfakta | Klassekampen and Nationen | 2021-11-02 | 2021-11-03 | N | N/A | N/A | 0.1 | 21.7 | 27.9 | 10.0 | 12.7 | 8.2 | 4.7 | 3.3 | 4.1 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Kantar TNS | TV2 | 2021-10-27 | 2021-11-02 | N | N/A | N/A | 0.1 | 21.4 | 26.8 | 11.5 | 12.0 | 8.6 | 4.3 | 3.2 | 3.7 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Ipsos | Dagbladet | 2021-10-31 | 2021-10-31 | N | N/A | N/A | 0.1 | 20.7 | 25.7 | 9.8 | 15.0 | 8.3 | 4.1 | 4.0 | 3.4 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Norstat | Aftenposten and NRK | 2021-10-26 | 2021-10-31 | N | 954 | N/A | 0.1 | 21.2 | 26.8 | 9.8 | 14.0 | 8.2 | 4.4 | 3.0 | 4.2 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Norstat | Vårt Land | 2021-10-19 | 2021-10-24 | N | 953 | N/A | 0.1 | 21.1 | 28.0 | 11.0 | 13.2 | 8.9 | 4.7 | 3.1 | 3.2 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Sentio | Amedia and Nettavisen | 2021-10-11 | 2021-10-19 | N | 1000 | N/A | 0.1 | 21.0 | 27.4 | 11.0 | 12.8 | 8.6 | 4.6 | 2.7 | 3.9 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Respons Analyse | VG | 2021-10-13 | 2021-10-18 | N | 1001 | N/A | 0.1 | 21.2 | 26.7 | 10.3 | 12.4 | 9.3 | 5.4 | 3.4 | 3.7 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-10-05 | 2021-10-11 | N | 977 | N/A | 0.1 | 21.5 | 25.8 | 11.0 | 13.1 | 8.5 | 4.7 | 3.8 | 3.8 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Norfakta | Klassekampen and Nationen | 2021-10-05 | 2021-10-06 | N | 1003 | N/A | 0.1 | 20.6 | 26.0 | 11.6 | 13.7 | 8.9 | 4.3 | 4.1 | 3.5 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Norstat | Aftenposten and NRK | 2021-10-03 | 2021-10-03 | N | 1000 | 83.0 | 0.1 | 20.5 | 25.6 | 12.0 | 13.1 | 9.0 | 4.5 | 3.4 | 3.7 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Kantar TNS | TV2 | 2021-10-01 | 2021-10-01 | N | 978 | N/A | 0.1 | 18.9 | 27.9 | 11.7 | 13.2 | 8.3 | 4.3 | 3.2 | 4.2 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Norstat | Aftenposten and NRK | 2021-09-21 | 2021-09-25 | N | 959 | N/A | 0.1 | 20.8 | 27.3 | 11.2 | 12.8 | 8.7 | 4.3 | 3.5 | 4.4 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Kantar TNS | TV2 | 2021-09-14 | 2021-09-21 | N | 1000 | N/A | 0.1 | 20.0 | 28.2 | 11.2 | 12.0 | 7.5 | 4.1 | 3.1 | 5.5 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Sentio | N/A | 2021-09-14 | 2021-09-21 | N | 1000 | N/A | 0.1 | 20.0 | 28.2 | 11.2 | 12.0 | 7.5 | 4.1 | 3.1 | 5.5 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Kantar TNS | TV2 | 2021-09-09 | 2021-09-11 | N | 2088 | N/A | 0.1 | 19.0 | 24.6 | 12.3 | 12.7 | 8.7 | 4.5 | 3.8 | 5.1 | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-09-10 | 2021-09-10 | N | N/A | N/A | 0.1 | 18.9 | 26.9 | 11.9 | 14.8 | 7.7 | 4.5 | 3.3 | 4.8 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Kantar TNS | TV2 | 2021-09-08 | 2021-09-10 | N | 2388 | 83.6 | 0.1 | 19.4 | 24.5 | 11.3 | 13.2 | 9.1 | 4.4 | 4.2 | 4.9 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Kantar TNS | TV2 | 2021-09-07 | 2021-09-09 | N | 2387 | 81.4 | 0.1 | 19.1 | 23.9 | 10.9 | 12.7 | 9.2 | 4.8 | 4.9 | 4.7 | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Norfakta | Klassekampen and Nationen | 2021-09-07 | 2021-09-08 | N | 1003 | 84.0 | 0.1 | 19.1 | 24.0 | 11.8 | 14.8 | 8.2 | 3.8 | 3.6 | 5.9 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Ipsos MMI | Dagbladet | 2021-09-06 | 2021-09-08 | N | N/A | N/A | 0.1 | 17.0 | 22.9 | 11.8 | 12.2 | 11.8 | 6.1 | 4.2 | 4.3 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Kantar TNS | TV2 | 2021-09-03 | 2021-09-08 | N | 2582 | N/A | 0.1 | 19.1 | 23.7 | 11.2 | 13.4 | 9.3 | 4.6 | 4.5 | 4.7 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Respons Analyse | Bergens Tidende and VG | 2021-09-03 | 2021-09-08 | N | 1000 | N/A | 0.1 | 18.0 | 26.6 | 12.4 | 11.1 | 9.4 | 3.9 | 4.5 | 4.2 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Norstat | NRK | 2021-08-31 | 2021-09-08 | N | 11500 | N/A | 0.1 | 20.4 | 24.7 | 12.0 | 11.9 | 8.9 | 4.9 | 4.2 | 4.9 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Kantar TNS | TV2 | 2021-09-01 | 2021-09-07 | N | 2184 | N/A | 0.1 | 18.6 | 23.8 | 11.1 | 13.8 | 8.9 | 4.8 | 4.3 | 5.0 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Kantar TNS | TV2 | 2021-09-01 | 2021-09-06 | N | 1686 | N/A | 0.1 | 19.4 | 23.3 | 10.9 | 14.0 | 9.5 | 4.7 | 4.1 | 4.7 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Norstat | Aftenposten and NRK | 2021-08-30 | 2021-09-06 | N | 969 | N/A | 0.1 | 18.5 | 23.9 | 12.4 | 14.3 | 8.6 | 3.6 | 3.4 | 5.4 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
Kantar TNS | TV2 | 2021-08-25 | 2021-09-03 | N | 1388 | N/A | 0.1 | 20.5 | 23.4 | 10.0 | 14.0 | 9.4 | 4.6 | 3.6 | 4.3 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
Kantar TNS | TV2 | 2021-08-27 | 2021-09-02 | N | 1480 | N/A | 0.1 | 21.2 | 23.2 | 9.0 | 12.4 | 9.5 | 4.8 | 4.3 | 5.0 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Respons Analyse | Bergens Tidende and VG | 2021-08-27 | 2021-09-01 | N | 1000 | 81.0 | 0.1 | 20.1 | 23.2 | 11.5 | 12.6 | 10.4 | 5.5 | 3.6 | 4.9 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Kantar TNS | TV2 | 2021-08-25 | 2021-08-31 | N | 1200 | N/A | 0.1 | 21.5 | 23.4 | 10.7 | 11.0 | 9.7 | 4.8 | 4.1 | 5.0 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
Norstat | Aftenposten | 2021-08-23 | 2021-08-29 | N | N/A | N/A | 0.1 | 19.6 | 23.1 | 11.3 | 12.2 | 10.6 | 4.5 | 4.7 | 4.8 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Norstat | Vårt Land | 2021-08-24 | 2021-08-28 | N | 962 | N/A | 0.1 | 19.0 | 23.7 | 11.5 | 12.6 | 10.0 | 4.9 | 3.7 | 5.8 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Kantar TNS | TV2 | 2021-08-23 | 2021-08-27 | N | 996 | N/A | 0.1 | 19.2 | 22.6 | 11.8 | 11.5 | 10.2 | 4.4 | 3.8 | 5.0 | 7.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
Ipsos MMI | Dagbladet | 2021-08-23 | 2021-08-25 | N | 1000 | 78.0 | 0.1 | 20.0 | 23.6 | 12.5 | 12.5 | 9.7 | 3.4 | 2.6 | 6.3 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
Respons Analyse | Bergens Tidende and VG | 2021-08-20 | 2021-08-25 | N | 1001 | 80.0 | 0.1 | 21.1 | 26.6 | 9.4 | 11.9 | 6.7 | 4.5 | 4.4 | 6.7 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Kantar TNS | TV2 | 2021-08-19 | 2021-08-25 | N | 995 | N/A | 0.1 | 20.5 | 22.4 | 10.7 | 11.2 | 9.9 | 4.8 | 3.7 | 5.3 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.2
Norstat | Dagens Næringsliv | 2021-08-19 | 2021-08-24 | N | N/A | N/A | 0.1 | 20.0 | 26.2 | 11.3 | 12.0 | 8.0 | 4.9 | 3.3 | 5.7 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Norstat | Aftenposten | 2021-08-16 | 2021-08-22 | N | N/A | N/A | 0.1 | 18.9 | 26.8 | 10.5 | 12.8 | 9.5 | 3.8 | 3.6 | 5.3 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Sentio | Nettavisen | 2021-08-17 | 2021-08-21 | N | 1000 | N/A | 0.1 | 19.1 | 23.9 | 9.8 | 13.2 | 8.8 | 3.8 | 3.9 | 7.2 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
Kantar TNS | TV2 | 2021-08-16 | 2021-08-20 | N | 992 | 81.7 | 0.1 | 19.7 | 22.7 | 9.3 | 13.0 | 9.5 | 4.4 | 3.4 | 5.1 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.0
Respons Analyse | Bergens Tidende and VG | 2021-08-13 | 2021-08-18 | N | 1001 | N/A | 0.1 | 20.3 | 24.9 | 11.6 | 11.3 | 9.5 | 5.0 | 4.2 | 5.8 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | Aftenposten and NRK | 2021-08-10 | 2021-08-13 | N | 948 | N/A | 0.1 | 21.9 | 22.1 | 8.6 | 17.1 | 7.6 | 4.1 | 2.9 | 6.7 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8
Kantar TNS | TV2 | 2021-08-09 | 2021-08-13 | N | 983 | N/A | 0.1 | 21.2 | 22.8 | 7.7 | 13.7 | 9.3 | 3.4 | 5.1 | 6.3 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.6
Norstat | Dagens Næringsliv | 2021-08-06 | 2021-08-11 | N | 1000 | 79.0 | 0.1 | 19.1 | 24.0 | 10.1 | 16.1 | 8.6 | 4.3 | 3.2 | 5.9 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Respons Analyse | VG | 2021-08-05 | 2021-08-11 | N | 1000 | N/A | 0.1 | 18.9 | 24.8 | 11.4 | 15.3 | 9.4 | 4.0 | 3.3 | 5.1 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norstat | NRK | 2021-07-28 | 2021-08-11 | N | 11400 | N/A | 0.1 | 21.1 | 25.5 | 10.9 | 16.2 | 6.9 | 3.3 | 3.1 | 4.3 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-08-03 | 2021-08-08 | N | 964 | 76.0 | 0.1 | 21.2 | 22.6 | 9.3 | 19.2 | 8.8 | 3.8 | 4.0 | 3.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Kantar TNS | TV2 | 2021-08-02 | 2021-08-06 | N | 977 | N/A | 0.1 | 18.2 | 23.5 | 9.3 | 16.4 | 8.6 | 3.2 | 3.8 | 4.5 | 7.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Norfakta | Klassekampen and Nationen | 2021-08-03 | 2021-08-04 | N | 1001 | 77.0 | 0.1 | 20.8 | 23.7 | 10.9 | 15.8 | 8.6 | 4.5 | 2.8 | 4.5 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Norstat | Dagens Næringsliv | 2021-07-22 | 2021-07-28 | N | 1000 | 74.0 | 0.1 | 19.5 | 26.9 | 11.6 | 15.0 | 8.0 | 3.6 | 3.0 | 4.1 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norfakta | Klassekampen and Nationen | 2021-07-06 | 2021-07-07 | N | 1000 | 77.0 | 0.1 | 20.2 | 23.8 | 10.3 | 16.9 | 8.8 | 4.0 | 3.1 | 3.9 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Kantar TNS | TV2 | 2021-06-28 | 2021-07-02 | N | 982 | N/A | 0.1 | 19.7 | 22.4 | 10.6 | 19.1 | 7.3 | 2.8 | 3.8 | 4.9 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Ipsos MMI | Dagbladet | 2021-06-28 | 2021-06-30 | N | 1000 | N/A | 0.1 | 20.7 | 23.9 | 7.2 | 19.3 | 6.6 | 3.4 | 2.7 | 5.0 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.7
Norstat | Dagens Næringsliv | 2021-06-17 | 2021-06-23 | N | 1000 | 75.0 | 0.1 | 21.1 | 27.0 | 9.4 | 15.0 | 8.8 | 2.5 | 3.5 | 4.2 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norstat | Vårt Land | 2021-06-15 | 2021-06-20 | N | 930 | N/A | 0.1 | 22.1 | 24.9 | 9.6 | 17.5 | 8.4 | 2.6 | 2.7 | 2.8 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Respons Analyse | Bergens Tidende and VG | 2021-06-09 | 2021-06-14 | N | 1000 | N/A | 0.1 | 21.4 | 23.6 | 10.5 | 18.2 | 8.2 | 2.8 | 3.3 | 3.7 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Sentio | Amedia and Nettavisen | 2021-06-08 | 2021-06-13 | N | 1000 | N/A | 0.1 | 21.9 | 23.9 | 10.1 | 18.7 | 7.0 | 2.8 | 3.3 | 5.0 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Norstat | NRK | 2021-05-26 | 2021-06-11 | N | 11400 | N/A | 0.1 | 23.0 | 24.1 | 10.2 | 17.7 | 7.8 | 2.7 | 3.6 | 3.7 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-06-01 | 2021-06-07 | N | 964 | 74.0 | 0.1 | 22.8 | 24.3 | 10.3 | 18.7 | 6.1 | 2.3 | 3.7 | 4.7 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Norfakta | Klassekampen and Nationen | 2021-05-31 | 2021-06-04 | N | N/A | N/A | 0.1 | 22.3 | 23.5 | 10.9 | 17.6 | 8.1 | 2.9 | 2.9 | 4.0 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Kantar TNS | TV2 | 2021-05-25 | 2021-05-31 | N | 1179 | N/A | 0.1 | 18.2 | 24.5 | 9.8 | 17.5 | 8.5 | 4.1 | 3.4 | 4.5 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | NRK | 2021-05-25 | 2021-05-31 | N | 953 | N/A | 0.1 | 21.2 | 24.7 | 10.7 | 17.0 | 7.3 | 3.1 | 3.0 | 4.2 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Ipsos MMI | Dagbladet | 2021-05-24 | 2021-05-26 | N | 1000 | 74.0 | 0.1 | 21.1 | 25.7 | 10.1 | 16.4 | 7.6 | 2.6 | 3.3 | 4.7 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Norstat | Vårt Land | 2021-05-18 | 2021-05-25 | N | 967 | N/A | 0.1 | 23.7 | 25.0 | 9.9 | 16.2 | 7.5 | 2.7 | 3.6 | 2.6 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Norstat | Dagens Næringsliv | 2021-05-20 | 2021-05-24 | N | 999 | N/A | 0.1 | 22.8 | 24.5 | 10.9 | 16.2 | 7.8 | 3.2 | 2.9 | 5.3 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Sentio | Amedia and Nettavisen | 2021-05-11 | 2021-05-16 | N | 1000 | N/A | 0.1 | 22.1 | 25.3 | 12.0 | 14.6 | 7.3 | 3.4 | 3.8 | 5.1 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-05-13 | 2021-05-13 | N | N/A | N/A | 0.1 | 22.0 | 25.6 | 8.7 | 16.3 | 9.3 | 3.3 | 4.1 | 5.0 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Respons Analyse | VG | 2021-05-05 | 2021-05-10 | N | 1001 | N/A | 0.1 | 22.0 | 21.5 | 10.8 | 18.3 | 8.0 | 3.6 | 4.1 | 4.2 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norfakta | Klassekampen and Nationen | 2021-05-04 | 2021-05-05 | N | 1000 | N/A | 0.1 | 23.9 | 24.4 | 10.0 | 14.8 | 8.0 | 3.9 | 3.9 | 3.8 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norstat | Aftenposten and NRK | 2021-04-27 | 2021-05-03 | N | 958 | N/A | 0.1 | 21.1 | 23.1 | 11.3 | 17.5 | 8.8 | 3.1 | 4.2 | 4.0 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Kantar TNS | TV2 | 2021-04-26 | 2021-04-30 | N | 976 | N/A | 0.1 | 24.3 | 21.1 | 8.6 | 18.4 | 8.1 | 4.1 | 4.5 | 2.1 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Ipsos MMI | Dagbladet | 2021-04-26 | 2021-04-28 | N | 1000 | 73.0 | 0.1 | 20.4 | 23.5 | 9.5 | 17.5 | 8.5 | 3.7 | 4.0 | 3.9 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Norstat | Vårt Land | 2021-04-20 | 2021-04-24 | N | 963 | N/A | 0.1 | 21.8 | 25.6 | 10.0 | 17.8 | 7.4 | 3.1 | 3.8 | 3.6 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Norstat | NRK | 2021-04-07 | 2021-04-20 | N | 11413 | N/A | 0.1 | 24.7 | 23.3 | 11.1 | 17.1 | 7.0 | 2.9 | 3.4 | 3.9 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Sentio | Amedia and Nettavisen | 2021-04-13 | 2021-04-19 | N | 1000 | N/A | 0.1 | 24.1 | 24.8 | 10.0 | 17.1 | 7.3 | 2.9 | 3.1 | 4.4 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-04-14 | 2021-04-14 | N | N/A | N/A | 0.1 | 21.7 | 23.1 | 9.5 | 19.0 | 7.7 | 3.3 | 3.1 | 5.7 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Respons Analyse | VG | 2021-04-07 | 2021-04-12 | N | 1000 | 75.0 | 0.1 | 26.6 | 25.4 | 8.3 | 14.0 | 7.7 | 3.2 | 3.2 | 4.4 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Norfakta | Klassekampen and Nationen | 2021-04-06 | 2021-04-07 | N | 1000 | 74.0 | 0.1 | 24.2 | 22.5 | 10.5 | 18.8 | 9.8 | 1.9 | 2.4 | 4.1 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Kantar TNS | TV2 | 2021-03-29 | 2021-04-07 | N | 1002 | N/A | 0.1 | 24.2 | 20.6 | 10.2 | 18.7 | 8.4 | 2.3 | 4.1 | 4.3 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | Aftenposten and NRK | 2021-03-23 | 2021-03-28 | N | 968 | N/A | 0.1 | 25.2 | 23.3 | 10.2 | 16.6 | 6.9 | 4.0 | 3.2 | 4.9 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos MMI | Dagbladet | 2021-03-22 | 2021-03-24 | N | 1000 | 77.0 | 0.1 | 20.9 | 24.3 | 11.5 | 16.7 | 7.4 | 2.9 | 2.9 | 3.4 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.1
Norstat | Aftenposten and NRK | 2021-03-16 | 2021-03-21 | N | 961 | N/A | 0.1 | 23.8 | 20.5 | 9.9 | 20.5 | 7.5 | 2.4 | 4.1 | 3.3 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Sentio | Amedia and Nettavisen | 2021-03-09 | 2021-03-14 | N | 1000 | N/A | 0.1 | 22.7 | 23.5 | 12.0 | 18.6 | 7.8 | 2.9 | 2.4 | 3.3 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Respons Analyse | VG | 2021-03-05 | 2021-03-10 | N | 1001 | N/A | 0.1 | 27.8 | 22.2 | 7.8 | 18.6 | 7.7 | 3.3 | 2.5 | 3.6 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Opinion Perduco | N/A | 2021-03-01 | 2021-03-08 | N | 966 | 72.0 | 0.1 | 22.8 | 22.7 | 9.2 | 20.7 | 7.8 | 2.2 | 2.9 | 4.1 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Norfakta | Klassekampen and Nationen | 2021-03-02 | 2021-03-03 | N | 1000 | N/A | 0.1 | 23.9 | 24.3 | 10.0 | 17.7 | 7.5 | 3.9 | 2.7 | 3.5 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Norstat | Aftenposten and NRK | 2021-02-22 | 2021-02-28 | N | 957 | N/A | 0.1 | 24.6 | 21.0 | 9.7 | 22.2 | 7.4 | 2.8 | 3.9 | 3.9 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Kantar TNS | TV2 | 2021-02-22 | 2021-02-26 | N | 981 | N/A | 0.1 | 25.6 | 18.2 | 7.2 | 19.2 | 8.6 | 2.9 | 3.3 | 4.0 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Ipsos MMI | Dagbladet | 2021-02-22 | 2021-02-24 | N | 1000 | 75.5 | 0.1 | 23.1 | 20.3 | 12.9 | 17.7 | 7.8 | 4.6 | 3.3 | 3.7 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Norstat | Aftenposten and NRK | 2021-02-15 | 2021-02-21 | N | 961 | N/A | 0.1 | 27.6 | 20.6 | 8.3 | 18.6 | 6.1 | 2.3 | 3.6 | 5.2 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Sentio | Amedia and Nettavisen | 2021-02-09 | 2021-02-14 | N | 1000 | N/A | 0.1 | 26.9 | 21.0 | 7.5 | 18.4 | 8.6 | 2.7 | 3.3 | 4.7 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-02-01 | 2021-02-08 | N | 964 | N/A | 0.1 | 25.1 | 24.6 | 8.1 | 19.1 | 7.4 | 3.2 | 3.2 | 4.0 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
