Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | A | V | O | Ø | B | I | Å | F | C | K | D | E | P | G | M | Q | Æ | Other
Voxmeter | N/A | 2021-10-04 | 2021-10-11 | N | 1013 | N/A | 0.1 | 28.7 | 14.5 | 6.0 | 8.3 | 5.3 | 3.2 | 0.6 | 7.6 | 13.8 | 1.4 | 7.6 | N/A | N/A | 0.0 | N/A | N/A | N/A | 2.0
Gallup | N/A | 2021-10-03 | 2021-10-03 | N | 1662 | N/A | 0.1 | 27.3 | 13.2 | 6.9 | 8.7 | 6.1 | 1.9 | 0.6 | 8.3 | 14.3 | 2.5 | 5.6 | N/A | N/A | 0.1 | 3.5 | N/A | N/A | N/A
Voxmeter | N/A | 2021-09-27 | 2021-10-03 | N | 1003 | N/A | 0.1 | 27.6 | 14.9 | 5.6 | 9.0 | 4.6 | 2.9 | 0.5 | 8.9 | 14.5 | 1.6 | 6.6 | N/A | N/A | 0.1 | N/A | N/A | N/A | 3.2
Epinion | N/A | 2021-09-21 | 2021-09-29 | N | 1551 | N/A | 0.1 | 27.6 | 14.4 | 6.2 | 7.8 | 5.6 | 2.8 | 1.0 | 9.2 | 14.5 | 0.9 | 5.6 | N/A | N/A | 1.3 | N/A | N/A | N/A | N/A
YouGov | B.T. | 2021-09-17 | 2021-09-20 | N | 1253 | N/A | 0.1 | 30.8 | 9.4 | 6.6 | 6.8 | 4.4 | 2.0 | 1.0 | 7.3 | 17.0 | 1.1 | 8.4 | N/A | N/A | N/A | 4.5 | N/A | N/A | N/A
Voxmeter | N/A | 2021-09-13 | 2021-09-19 | N | 1001 | N/A | 0.1 | 27.7 | 13.6 | 6.1 | 9.7 | 4.3 | 3.1 | 0.4 | 9.8 | 13.5 | 1.4 | 5.7 | N/A | N/A | 0.0 | N/A | N/A | N/A | 4.7
YouGov | B.T. | 2021-09-10 | 2021-09-12 | N | 1263 | N/A | 0.1 | 31.0 | 10.3 | 7.1 | 7.4 | 4.0 | 2.2 | 0.6 | 7.9 | 16.9 | 1.7 | 9.8 | N/A | N/A | 1.2 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-08-23 | 2021-08-29 | N | 1006 | N/A | 0.1 | 28.4 | 15.1 | 5.6 | 9.3 | 5.6 | 2.9 | 0.5 | 8.8 | 13.9 | 1.8 | 5.8 | N/A | N/A | 0.0 | N/A | N/A | N/A | 2.3
Epinion | DR | 2021-08-19 | 2021-08-26 | N | 1639 | N/A | 0.1 | 28.6 | 15.2 | 5.5 | 7.1 | 6.4 | 2.3 | 1.3 | 7.8 | 13.6 | 1.2 | 9.3 | N/A | N/A | 0.3 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-08-16 | 2021-08-22 | N | 1003 | N/A | 0.1 | 29.3 | 14.5 | 6.4 | 9.1 | 5.5 | 2.6 | 0.2 | 9.4 | 13.4 | 2.1 | 6.3 | N/A | N/A | 0.1 | N/A | N/A | N/A | 1.1
YouGov | B.T. | 2021-08-13 | 2021-08-16 | N | 1253 | N/A | 0.1 | 31.5 | 9.8 | 7.2 | 7.8 | 4.5 | 3.2 | 1.6 | 7.7 | 14.6 | 1.4 | 9.7 | N/A | N/A | 1.1 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-08-09 | 2021-08-15 | N | 1007 | N/A | 0.1 | 30.6 | 13.7 | 5.8 | 9.1 | 6.0 | 2.1 | 0.2 | 9.3 | 12.9 | 2.1 | 6.8 | N/A | N/A | 0.1 | N/A | N/A | N/A | 1.3
Voxmeter | N/A | 2021-08-02 | 2021-08-07 | N | 1004 | N/A | 0.1 | 30.3 | 14.5 | 5.9 | 9.1 | 5.4 | 1.7 | 0.0 | 9.8 | 13.4 | 2.2 | 6.0 | N/A | N/A | 0.3 | N/A | N/A | N/A | 1.4
Gallup | N/A | 2021-07-30 | 2021-08-05 | N | 1735 | N/A | 0.1 | 27.9 | 13.5 | 7.0 | 7.7 | 6.1 | 2.1 | 0.6 | 9.6 | 14.4 | 2.1 | 7.0 | 0.2 | 0.6 | 0.1 | N/A | N/A | N/A | 1.1
Voxmeter | N/A | 2021-06-21 | 2021-06-27 | N | 1003 | N/A | 0.1 | 28.9 | 15.1 | 6.3 | 8.8 | 5.6 | 1.9 | 0.3 | 9.5 | 13.2 | 1.8 | 6.4 | N/A | N/A | 0.2 | N/A | N/A | N/A | 2.0
Voxmeter | N/A | 2021-06-14 | 2021-06-20 | N | 1022 | N/A | 0.1 | 28.4 | 14.6 | 6.7 | 8.6 | 5.3 | 1.8 | 0.8 | 9.1 | 13.8 | 1.5 | 6.7 | N/A | N/A | 0.1 | N/A | N/A | N/A | 2.6
Voxmeter | N/A | 2021-06-07 | 2021-06-12 | N | 1030 | N/A | 0.1 | 29.3 | 13.6 | 6.4 | 8.5 | 5.6 | 2.3 | 1.0 | 8.7 | 13.9 | 1.3 | 6.4 | N/A | N/A | 0.0 | N/A | N/A | N/A | 3.0
Gallup | N/A | 2021-06-04 | 2021-06-10 | N | 1465 | N/A | 0.1 | 26.7 | 12.8 | 7.3 | 8.3 | 8.3 | 2.4 | 0.3 | 7.5 | 13.8 | 2.3 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
YouGov | B.T. | 2021-06-04 | 2021-06-06 | N | 1258 | N/A | 0.1 | 33.4 | 11.6 | 7.3 | 8.0 | 3.9 | 2.6 | 0.7 | 8.1 | 14.1 | 1.2 | 8.8 | N/A | N/A | 0.6 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-05-31 | 2021-06-06 | N | 1044 | N/A | 0.1 | 30.5 | 13.3 | 6.7 | 8.1 | 6.1 | 2.7 | 0.6 | 8.2 | 13.0 | 1.9 | 7.0 | N/A | N/A | 0.6 | N/A | N/A | N/A | 1.3
Voxmeter | N/A | 2021-05-24 | 2021-05-30 | N | 1005 | N/A | 0.1 | 31.7 | 12.5 | 5.7 | 8.4 | 5.9 | 2.2 | 0.4 | 8.6 | 13.5 | 1.6 | 7.5 | N/A | N/A | 0.0 | N/A | N/A | N/A | 2.0
Voxmeter | N/A | 2021-05-17 | 2021-05-23 | N | 1011 | N/A | 0.1 | 31.0 | 11.4 | 5.5 | 9.0 | 5.5 | 2.5 | 0.9 | 8.0 | 14.2 | 1.8 | 7.7 | N/A | N/A | 0.2 | N/A | N/A | N/A | 2.3
Epinion | N/A | 2021-05-11 | 2021-05-19 | N | 1552 | N/A | 0.1 | 28.6 | 12.3 | 6.3 | 8.1 | 5.5 | 2.2 | 0.7 | 8.7 | 15.9 | 2.2 | 6.6 | N/A | N/A | 0.6 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-05-10 | 2021-05-16 | N | 1008 | N/A | 0.1 | 31.8 | 11.8 | 5.9 | 9.2 | 5.9 | 2.5 | 1.1 | 7.9 | 13.4 | 1.9 | 6.9 | N/A | N/A | 0.4 | N/A | N/A | N/A | 1.3
YouGov | B.T. | 2021-05-07 | 2021-05-09 | N | 1263 | N/A | 0.1 | 33.0 | 10.7 | 5.5 | 7.5 | 3.7 | 2.9 | 0.8 | 7.8 | 13.7 | 1.7 | 11.6 | N/A | N/A | 0.8 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-05-03 | 2021-05-08 | N | 1023 | N/A | 0.1 | 32.1 | 11.6 | 5.3 | 8.9 | 5.3 | 2.9 | 0.6 | 8.6 | 14.0 | 2.1 | 7.2 | N/A | N/A | 0.2 | N/A | N/A | N/A | 1.2
Voxmeter | N/A | 2021-04-26 | 2021-05-02 | N | 1022 | N/A | 0.1 | 31.2 | 12.3 | 6.1 | 8.6 | 4.1 | 3.3 | 0.9 | 8.0 | 14.9 | 1.7 | 7.6 | N/A | N/A | 0.2 | N/A | N/A | N/A | 1.1
Voxmeter | N/A | 2021-04-19 | 2021-04-25 | N | 1013 | N/A | 0.1 | 32.6 | 11.5 | 5.7 | 9.3 | 3.6 | 3.2 | 0.6 | 7.5 | 15.5 | 1.4 | 8.1 | N/A | N/A | 0.2 | N/A | N/A | N/A | 0.8
Voxmeter | N/A | 2021-04-12 | 2021-04-18 | N | 1024 | N/A | 0.1 | 31.3 | 11.3 | 6.5 | 9.2 | 4.3 | 2.4 | 0.8 | 7.3 | 15.2 | 1.4 | 8.7 | N/A | N/A | 0.2 | N/A | N/A | N/A | 1.4
Epinion | N/A | 2021-04-07 | 2021-04-13 | N | 1578 | N/A | 0.1 | 30.7 | 10.4 | 5.3 | 7.6 | 5.0 | 2.5 | 1.0 | 8.1 | 15.5 | 2.2 | 8.8 | N/A | N/A | 0.5 | N/A | N/A | N/A | N/A
YouGov | B.T. | 2021-04-09 | 2021-04-11 | N | 1258 | N/A | 0.1 | 33.2 | 8.7 | 6.8 | 7.4 | 4.8 | 2.9 | 0.3 | 7.4 | 15.0 | 1.2 | 11.7 | N/A | N/A | 0.6 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-04-05 | 2021-04-10 | N | 1014 | N/A | 0.1 | 32.0 | 12.1 | 5.7 | 8.6 | 4.9 | 1.8 | 0.8 | 7.6 | 15.2 | 1.3 | 9.0 | N/A | N/A | 0.2 | N/A | N/A | N/A | 0.8
Gallup | N/A | 2021-04-02 | 2021-04-08 | N | 1698 | N/A | 0.1 | 29.3 | 12.6 | 6.7 | 9.1 | 6.5 | 2.3 | 0.4 | 7.8 | 16.7 | N/A | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-03-29 | 2021-04-04 | N | 1019 | N/A | 0.1 | 30.9 | 12.7 | 5.6 | 7.7 | 5.3 | 2.1 | 0.9 | 7.8 | 16.0 | 1.3 | 8.7 | N/A | N/A | 0.0 | N/A | N/A | N/A | 1.0
Voxmeter | N/A | 2021-03-22 | 2021-03-28 | N | 1031 | N/A | 0.1 | 33.4 | 11.2 | 5.9 | 8.0 | 5.0 | 2.4 | 1.1 | 7.5 | 14.4 | 1.7 | 8.9 | N/A | N/A | 0.0 | N/A | N/A | N/A | 0.5
Voxmeter | N/A | 2021-03-15 | 2021-03-21 | N | 1034 | N/A | 0.1 | 34.1 | 11.9 | 5.8 | 7.6 | 5.3 | 2.2 | 0.7 | 8.1 | 13.8 | 1.4 | 8.0 | N/A | N/A | 0.5 | N/A | N/A | N/A | 0.6
Voxmeter | N/A | 2021-03-07 | 2021-03-14 | N | 1032 | N/A | 0.1 | 32.8 | 12.1 | 5.7 | 8.3 | 4.4 | 2.3 | 0.8 | 7.6 | 14.6 | 1.9 | 8.5 | N/A | N/A | 0.6 | N/A | N/A | N/A | 0.4
Voxmeter | N/A | 2021-03-01 | 2021-03-06 | N | 1028 | N/A | 0.1 | 32.4 | 12.3 | 5.6 | 8.4 | 5.1 | 1.9 | 0.8 | 8.1 | 14.0 | 2.1 | 8.7 | N/A | N/A | 0.3 | N/A | N/A | N/A | 0.3
Voxmeter | N/A | 2021-02-22 | 2021-02-28 | N | 1034 | N/A | 0.1 | 32.6 | 11.2 | 6.4 | 7.9 | 5.7 | 2.1 | 0.9 | 7.6 | 13.5 | 1.7 | 9.0 | N/A | N/A | 0.4 | N/A | N/A | N/A | 1.0
Voxmeter | N/A | 2021-02-15 | 2021-02-21 | N | 1041 | N/A | 0.1 | 32.1 | 12.7 | 6.2 | 7.9 | 6.2 | 2.4 | 0.5 | 8.0 | 13.1 | 1.7 | 8.0 | N/A | N/A | 0.4 | N/A | N/A | N/A | 0.8
Voxmeter | N/A | 2021-02-08 | 2021-02-15 | N | 1040 | N/A | 0.1 | 32.9 | 11.8 | 6.6 | 8.7 | 5.6 | 2.9 | 0.5 | 7.1 | 12.9 | 1.5 | 8.4 | N/A | N/A | 0.4 | N/A | N/A | N/A | 0.7
Electica | Alliancen | 2021-02-01 | 2021-02-14 | N | 4138 | N/A | 0.1 | 32.6 | 9.8 | 7.6 | 7.7 | 4.0 | 2.8 | 1.0 | 7.2 | 12.6 | 1.4 | 11.0 | N/A | N/A | 0.9 | N/A | N/A | N/A | 1.5
YouGov | B.T. | 2021-02-05 | 2021-02-08 | N | 1261 | N/A | 0.1 | 35.1 | 9.3 | 7.9 | 7.3 | 3.5 | 2.1 | 0.7 | 7.0 | 15.0 | 1.0 | 10.7 | N/A | N/A | 0.5 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-02-01 | 2021-02-06 | N | 1034 | N/A | 0.1 | 33.1 | 12.3 | 5.9 | 8.0 | 6.4 | 2.7 | 1.0 | 7.6 | 11.9 | 1.5 | 7.9 | N/A | N/A | 0.9 | N/A | N/A | N/A | 0.8
Voxmeter | N/A | 2021-01-25 | 2021-01-31 | N | 1028 | N/A | 0.1 | 32.2 | 12.5 | 6.3 | 8.5 | 5.4 | 2.9 | 1.7 | 7.3 | 12.1 | 1.5 | 7.9 | N/A | N/A | 1.1 | N/A | N/A | N/A | 0.6
Gallup | N/A | 2021-01-22 | 2021-01-28 | N | 1497 | N/A | 0.1 | 29.5 | 12.8 | 7.1 | 6.5 | 7.4 | 3.0 | 1.2 | 6.9 | 13.6 | 2.2 | 8.4 | 0.6 | 0.2 | N/A | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-01-18 | 2021-01-24 | N | 1016 | N/A | 0.1 | 33.4 | 13.6 | 5.5 | 8.5 | 5.9 | 3.2 | 0.9 | 7.4 | 11.4 | 1.4 | 7.0 | N/A | N/A | 1.3 | N/A | N/A | N/A | N/A
Epinion | N/A | 2021-01-18 | 2021-01-21 | N | 1735 | N/A | 0.1 | 32.5 | 13.3 | 5.3 | 6.9 | 6.4 | 2.4 | 0.6 | 7.6 | 12.5 | 1.2 | 9.6 | N/A | N/A | 0.2 | N/A | N/A | N/A | 1.5
YouGov | B.T. | 2021-01-15 | 2021-01-18 | N | 1246 | N/A | 0.1 | 33.4 | 9.2 | 8.0 | 7.1 | 4.7 | 2.8 | 0.9 | 6.7 | 12.9 | 1.9 | 11.8 | N/A | N/A | 0.7 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-01-11 | 2021-01-17 | N | 1035 | N/A | 0.1 | 33.3 | 13.0 | 6.6 | 8.2 | 6.6 | 2.8 | 0.8 | 8.4 | 10.9 | 1.6 | 5.8 | N/A | N/A | 1.4 | N/A | N/A | N/A | 0.6
Voxmeter | N/A | 2021-01-04 | 2021-01-09 | N | 1040 | N/A | 0.1 | 32.2 | 13.9 | 6.5 | 9.1 | 6.6 | 3.0 | 0.5 | 8.7 | 10.5 | 1.5 | 6.6 | N/A | N/A | 0.7 | N/A | N/A | N/A | 0.4
Voxmeter | N/A | 2020-12-14 | 2020-12-20 | N | 1020 | N/A | 0.1 | 32.8 | 17.3 | 5.4 | 7.8 | 6.3 | 3.0 | 1.0 | 7.7 | 10.0 | 1.4 | 7.0 | N/A | N/A | 0.2 | N/A | N/A | N/A | 0.1
Voxmeter | N/A | 2020-12-07 | 2020-12-12 | N | 1029 | N/A | 0.1 | 32.9 | 18.9 | 5.4 | 7.4 | 7.0 | 2.2 | 0.6 | 7.4 | 10.4 | 1.4 | 5.9 | N/A | N/A | 0.2 | N/A | N/A | N/A | 0.3
Gallup | N/A | 2020-12-04 | 2020-12-10 | N | 1496 | N/A | 0.1 | 29.5 | 17.5 | 4.7 | 7.1 | 6.3 | 2.8 | 0.8 | 8.2 | 11.7 | 1.4 | 7.8 | 0.6 | 0.8 | 0.4 | N/A | N/A | N/A | 0.4
Epinion | N/A | 2020-12-01 | 2020-12-08 | N | 1692 | N/A | 0.1 | 31.5 | 17.6 | 5.8 | 6.9 | 6.7 | 3.7 | 0.2 | 7.1 | 9.9 | 1.6 | 7.8 | N/A | N/A | 0.5 | N/A | N/A | N/A | 0.7
YouGov | B.T. | 2020-12-04 | 2020-12-07 | N | 1251 | N/A | 0.1 | 32.9 | 14.2 | 6.4 | 7.4 | 5.2 | 3.1 | 0.4 | 7.4 | 10.3 | 1.4 | 8.6 | N/A | 0.7 | 1.3 | N/A | N/A | N/A | 0.6
Voxmeter | N/A | 2020-11-30 | 2020-12-05 | N | 1033 | N/A | 0.1 | 31.2 | 19.2 | 5.7 | 7.9 | 7.4 | 2.4 | 1.0 | 7.7 | 9.7 | 1.6 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Voxmeter | N/A | 2020-11-23 | 2020-11-29 | N | 1043 | N/A | 0.1 | 30.2 | 19.7 | 5.7 | 7.9 | 7.0 | 2.7 | 0.6 | 8.3 | 9.1 | 1.8 | 6.0 | N/A | N/A | 0.4 | N/A | N/A | N/A | 0.6
Voxmeter | N/A | 2020-11-16 | 2020-11-22 | N | 1021 | N/A | 0.1 | 29.2 | 20.3 | 5.1 | 8.4 | 6.3 | 3.2 | 0.6 | 8.6 | 9.1 | 2.3 | 5.2 | N/A | N/A | 0.5 | N/A | N/A | N/A | 1.2
Voxmeter | N/A | 2020-11-09 | 2020-11-15 | N | 1034 | N/A | 0.1 | 31.3 | 18.6 | 5.4 | 8.7 | 5.1 | 2.7 | 0.4 | 9.0 | 9.5 | 2.5 | 5.3 | N/A | N/A | 0.5 | N/A | N/A | N/A | 1.0
Gallup | N/A | 2020-11-06 | 2020-11-12 | N | 1664 | N/A | 0.1 | 29.2 | 18.4 | 5.6 | 7.4 | 6.3 | 2.7 | 0.6 | 7.4 | 9.8 | 1.8 | 8.9 | 0.3 | 0.7 | 0.6 | N/A | N/A | N/A | 0.2
YouGov | B.T. | 2020-11-06 | 2020-11-11 | N | 1247 | N/A | 0.1 | 33.6 | 15.7 | 6.3 | 7.8 | 4.3 | 2.9 | 0.6 | 6.3 | 10.0 | 1.7 | 9.6 | N/A | 0.6 | 0.8 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2020-11-02 | 2020-11-07 | N | 1028 | N/A | 0.1 | 32.5 | 18.5 | 5.8 | 7.8 | 4.6 | 2.2 | 0.8 | 8.3 | 9.5 | 2.8 | 5.7 | N/A | N/A | 0.6 | N/A | N/A | N/A | 0.9
Voxmeter | N/A | 2020-10-26 | 2020-11-01 | N | 1021 | N/A | 0.1 | 30.5 | 19.4 | 5.0 | 7.4 | 5.7 | 2.3 | 0.8 | 8.8 | 9.9 | 2.4 | 6.1 | N/A | N/A | 0.6 | N/A | N/A | N/A | 1.1
Voxmeter | N/A | 2020-10-19 | 2020-10-25 | N | 1018 | N/A | 0.1 | 29.7 | 20.4 | 5.9 | 7.8 | 5.1 | 2.2 | 1.1 | 8.7 | 9.3 | 1.7 | 6.4 | N/A | 0.6 | 0.8 | N/A | N/A | N/A | 0.3
Voxmeter | N/A | 2020-10-12 | 2020-10-18 | N | 1018 | N/A | 0.1 | 30.8 | 18.3 | 6.9 | 7.2 | 7.3 | 2.6 | 1.1 | 8.8 | 9.3 | 1.7 | 4.8 | N/A | 0.6 | 0.4 | N/A | N/A | N/A | 0.2
Voxmeter | N/A | 2020-10-05 | 2020-10-10 | N | 1007 | N/A | 0.1 | 31.4 | 19.8 | 6.7 | 6.9 | 7.8 | 2.2 | 0.9 | 7.9 | 9.6 | 1.3 | 4.3 | N/A | 0.6 | 0.6 | N/A | N/A | N/A | 0.5
YouGov | N/A | 2020-10-02 | 2020-10-05 | N | 1254 | N/A | 0.1 | 32.4 | 15.8 | 6.8 | 6.6 | 6.5 | 2.1 | 0.7 | 5.6 | 10.6 | 1.6 | 9.4 | N/A | 0.6 | 1.5 | N/A | N/A | N/A | N/A
Gallup | N/A | 2020-09-28 | 2020-10-04 | N | 2046 | N/A | 0.1 | 29.4 | 19.1 | 6.2 | 6.7 | 8.3 | 2.1 | 0.9 | 7.1 | 10.4 | 1.6 | 6.7 | 0.1 | 0.6 | 0.7 | N/A | N/A | N/A | 0.1
Voxmeter | N/A | 2020-09-28 | 2020-10-04 | N | 1629 | N/A | 0.1 | 32.2 | 18.5 | 7.1 | 6.5 | 8.4 | 2.4 | 0.9 | 8.1 | 8.9 | 1.5 | 4.3 | N/A | 0.1 | 0.4 | N/A | N/A | N/A | 0.8
Epinion | N/A | 2020-09-22 | 2020-09-28 | N | 1629 | N/A | 0.1 | 31.3 | 17.7 | 6.6 | 7.3 | 6.6 | 2.1 | 0.6 | 6.8 | 10.6 | 1.4 | 6.9 | N/A | 1.0 | 0.3 | N/A | N/A | N/A | 0.8
Voxmeter | N/A | 2020-09-21 | 2020-09-27 | N | 1032 | N/A | 0.1 | 33.1 | 19.3 | 6.1 | 7.0 | 8.9 | 1.9 | 1.0 | 8.6 | 8.1 | 1.3 | 4.1 | N/A | 0.3 | 0.3 | N/A | N/A | N/A | 0.2
Voxmeter | N/A | 2020-09-14 | 2020-09-20 | N | 1021 | N/A | 0.1 | 32.9 | 18.4 | 6.8 | 7.6 | 8.3 | 2.1 | 0.8 | 8.2 | 8.4 | 1.8 | 3.8 | N/A | 0.4 | 0.2 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2020-09-07 | 2020-09-12 | N | 1106 | N/A | 0.1 | 32.6 | 19.9 | 6.2 | 7.3 | 7.8 | 1.8 | 0.4 | 8.8 | 8.0 | 1.5 | 4.4 | N/A | 0.8 | N/A | N/A | N/A | N/A | N/A
Epinion | N/A | 2020-09-01 | 2020-09-08 | N | 1629 | N/A | 0.1 | 33.2 | 17.2 | 6.9 | 6.3 | 7.1 | 2.5 | 0.9 | 6.6 | 8.7 | 2.4 | 6.2 | N/A | 0.8 | N/A | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2020-08-31 | 2020-09-06 | N | 1034 | N/A | 0.1 | 33.4 | 20.4 | 6.0 | 7.7 | 6.8 | 2.3 | 0.4 | 8.6 | 7.5 | 1.5 | 4.7 | N/A | 0.3 | N/A | N/A | N/A | N/A | 0.4
Voxmeter | N/A | 2020-08-31 | 2020-09-01 | N | 1034 | N/A | 0.1 | 33.4 | 20.4 | 6.0 | 7.7 | 6.8 | 2.3 | 0.4 | 8.6 | 7.5 | 1.5 | 4.7 | N/A | 0.4 | N/A | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2020-08-24 | 2020-08-30 | N | 1024 | N/A | 0.1 | 32.4 | 19.5 | 7.3 | 7.3 | 7.5 | 2.1 | 0.5 | 7.8 | 8.7 | 1.6 | 4.4 | N/A | 0.2 | N/A | N/A | N/A | N/A | 0.9
Voxmeter | N/A | 2020-08-17 | 2020-08-23 | N | 1037 | N/A | 0.1 | 32.6 | 18.8 | 7.0 | 7.8 | 7.6 | 2.3 | 0.7 | 7.7 | 8.1 | 0.3 | 4.6 | 0.2 | 0.5 | N/A | N/A | N/A | N/A | N/A
Voxmeter | Ritzau | 2020-08-10 | 2020-08-16 | N | 1033 | N/A | 0.1 | 32.9 | 17.8 | 7.0 | 8.0 | 7.8 | 2.7 | 0.7 | 7.4 | 7.9 | N/A | 4.5 | 0.2 | 0.6 | N/A | N/A | N/A | N/A | 2.5
Voxmeter | Ritzau | 2020-08-03 | 2020-08-08 | N | 1007 | N/A | 0.1 | 33.4 | 18.9 | 6.1 | 8.4 | 7.4 | 1.9 | 1.2 | 8.3 | 6.9 | N/A | 4.2 | 0.3 | 0.6 | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2020-07-01 | 2020-07-31 | N | N/A | N/A | 0.1 | 30.3 | 19.0 | 7.6 | 7.5 | 7.5 | 2.4 | 0.4 | 7.6 | 9.1 | N/A | 6.5 | 0.0 | 0.5 | N/A | N/A | N/A | N/A | 1.6
YouGov | N/A | 2020-07-02 | 2020-07-06 | N | 1239 | N/A | 0.1 | 32.7 | 17.0 | 6.5 | 7.7 | 6.4 | 3.0 | 0.7 | 6.7 | 8.8 | 0.7 | 8.1 | N/A | 0.7 | N/A | N/A | N/A | N/A | N/A
Voxmeter | Ritzau | 2020-06-22 | 2020-06-28 | N | 1035 | N/A | 0.1 | 35.5 | 20.1 | 5.4 | 7.3 | 7.3 | 2.4 | 0.5 | 7.3 | 6.8 | N/A | 5.3 | 0.0 | 0.6 | N/A | N/A | N/A | N/A | 1.5
Voxmeter | Ritzau | 2020-06-15 | 2020-06-21 | N | 1032 | N/A | 0.1 | 34.6 | 19.9 | 6.0 | 8.0 | 8.0 | 2.0 | 0.6 | 7.4 | 7.5 | N/A | 4.0 | 0.3 | 0.4 | N/A | N/A | N/A | N/A | 1.3
Voxmeter | Ritzau | 2020-06-08 | 2020-06-13 | N | 1036 | N/A | 0.1 | 34.0 | 20.4 | 6.6 | 7.9 | 8.4 | 2.1 | 0.5 | 7.0 | 7.3 | N/A | 3.4 | 1.1 | 0.8 | N/A | N/A | N/A | N/A | 0.5
Gallup | N/A | 2020-06-11 | 2020-06-11 | N | 1507 | N/A | 0.1 | 33.1 | 21.4 | 6.1 | 6.6 | 7.4 | 2.1 | 1.5 | 6.6 | 7.0 | 1.7 | 5.8 | 0.0 | 0.4 | N/A | N/A | N/A | N/A | 0.3
YouGov | N/A | 2020-06-08 | 2020-06-10 | N | 1255 | N/A | 0.1 | 33.8 | 18.6 | 6.6 | 7.0 | 7.5 | 1.8 | 0.8 | 6.6 | 7.6 | 0.7 | 7.7 | N/A | 1.3 | N/A | N/A | N/A | N/A | N/A
Voxmeter | Ritzau | 2020-06-01 | 2020-06-07 | N | 1034 | N/A | 0.1 | 35.5 | 19.1 | 5.9 | 8.5 | 7.6 | 2.2 | 0.8 | 7.4 | 7.3 | N/A | 2.5 | 0.6 | 1.1 | N/A | N/A | N/A | N/A | 1.5
Voxmeter | Ritzau | 2020-05-25 | 2020-05-31 | N | 1036 | N/A | 0.1 | 34.7 | 19.5 | 6.5 | 9.0 | 7.7 | 2.5 | 0.5 | 7.7 | 7.6 | N/A | 2.7 | 0.0 | 0.5 | N/A | N/A | N/A | N/A | 0.8
Epinion | N/A | 2020-05-22 | 2020-05-29 | N | 1642 | N/A | 0.1 | 34.5 | 20.4 | 6.8 | 6.1 | 6.2 | 2.8 | 1.1 | 7.3 | 6.9 | N/A | 5.8 | 0.0 | 0.8 | N/A | N/A | N/A | N/A | N/A
Voxmeter | Ritzau | 2020-05-18 | 2020-05-24 | N | 1027 | N/A | 0.1 | 35.8 | 19.1 | 6.4 | 7.8 | 7.9 | 2.3 | 0.9 | 7.8 | 7.1 | N/A | 2.3 | 0.3 | 1.0 | N/A | N/A | N/A | N/A | 1.3
Voxmeter | Ritzau | 2020-05-11 | 2020-05-17 | N | 1027 | N/A | 0.1 | 34.7 | 20.4 | 7.2 | 8.0 | 7.5 | 1.7 | 0.9 | 7.2 | 6.8 | N/A | 2.1 | 0.5 | 1.6 | N/A | N/A | N/A | N/A | 1.4
YouGov | N/A | 2020-05-07 | 2020-05-11 | N | 1251 | N/A | 0.1 | 32.9 | 19.4 | 8.6 | 6.6 | 7.9 | 1.4 | 1.2 | 6.3 | 7.7 | 1.4 | 5.8 | 0.0 | 1.2 | N/A | N/A | N/A | N/A | 0.0
Voxmeter | Ritzau | 2020-05-04 | 2020-05-09 | N | 1043 | N/A | 0.1 | 33.8 | 21.6 | 6.2 | 7.3 | 7.8 | 2.2 | 0.6 | 7.8 | 6.7 | N/A | 2.1 | 0.5 | 1.2 | N/A | N/A | N/A | N/A | 1.2
Voxmeter | Ritzau | 2020-04-27 | 2020-05-03 | N | 1025 | N/A | 0.1 | 33.3 | 21.1 | 6.7 | 7.9 | 8.1 | 2.4 | 0.7 | 7.4 | 6.9 | N/A | 2.1 | 1.0 | 1.9 | N/A | N/A | N/A | N/A | 0.5
Voxmeter | Ritzau | 2020-04-20 | 2020-04-26 | N | 1029 | N/A | 0.1 | 35.6 | 20.9 | 7.2 | 7.1 | 7.7 | 1.9 | 0.5 | 6.9 | 6.6 | N/A | 1.6 | 1.1 | 1.4 | N/A | N/A | N/A | N/A | 1.5
